EIRUNEPÉ-MONTANTE	-69.881	-6.684
    25    10  1984      679.000000
    26    10  1984      715.000000
    27    10  1984      750.000000
    28    10  1984      779.000000
    29    10  1984      812.000000
    30    10  1984      836.000000
    31    10  1984      853.000000
     1    11  1984      848.000000
     2    11  1984      824.000000
     3    11  1984      800.000000
     4    11  1984      783.000000
     5    11  1984      766.000000
     6    11  1984      774.000000
     7    11  1984      798.000000
     8    11  1984      834.000000
     9    11  1984      880.000000
    10    11  1984      917.000000
    11    11  1984      942.000000
    12    11  1984      956.000000
    13    11  1984      979.000000
    14    11  1984     1006.000000
    15    11  1984     1042.000000
    16    11  1984     1058.000000
    17    11  1984     1109.000000
    18    11  1984     1149.000000
    19    11  1984     1180.000000
    20    11  1984     1212.000000
    21    11  1984     1232.000000
    22    11  1984     1238.000000
    23    11  1984     1237.000000
    24    11  1984     1231.000000
    25    11  1984     1226.000000
    26    11  1984     1225.000000
    27    11  1984     1244.000000
    28    11  1984     1274.000000
    29    11  1984     1300.000000
    30    11  1984     1317.000000
     1    12  1984     1328.000000
     2    12  1984     1333.000000
     3    12  1984     1338.000000
     4    12  1984     1343.000000
     5    12  1984     1351.000000
     6    12  1984     1370.000000
     7    12  1984     1387.000000
     8    12  1984     1401.000000
     9    12  1984     1416.000000
    10    12  1984     1432.000000
    11    12  1984     1444.000000
    12    12  1984     1452.000000
    13    12  1984     1456.000000
    14    12  1984     1462.000000
    15    12  1984     1468.000000
    16    12  1984     1470.000000
    17    12  1984     1470.000000
    18    12  1984     1472.000000
    19    12  1984     1474.000000
    20    12  1984     1471.000000
    21    12  1984     1466.000000
    22    12  1984     1460.000000
    23    12  1984     1452.000000
    24    12  1984     1449.000000
    25    12  1984     1441.000000
    26    12  1984     1432.000000
    27    12  1984     1426.000000
    28    12  1984     1416.000000
    29    12  1984     1420.000000
    30    12  1984     1437.000000
    31    12  1984     1446.000000
     1     1  1985     1454.000000
     2     1  1985     1461.000000
     3     1  1985     1466.000000
     4     1  1985     1470.000000
     5     1  1985     1472.000000
     6     1  1985     1473.000000
     7     1  1985     1472.000000
     8     1  1985     1466.000000
     9     1  1985     1458.000000
    10     1  1985     1456.000000
    11     1  1985     1460.000000
    12     1  1985     1463.000000
    13     1  1985     1467.000000
    14     1  1985     1474.000000
    15     1  1985     1483.000000
    16     1  1985     1490.000000
    17     1  1985     1494.000000
    18     1  1985     1496.000000
    19     1  1985     1496.000000
    20     1  1985     1496.000000
    21     1  1985     1494.000000
    22     1  1985     1490.000000
    23     1  1985     1482.000000
    24     1  1985     1472.000000
    25     1  1985     1460.000000
    26     1  1985     1447.000000
    27     1  1985     1430.000000
    28     1  1985     1412.000000
    29     1  1985     1392.000000
    30     1  1985     1377.000000
    31     1  1985     1364.000000
     1     2  1985     1352.000000
     2     2  1985     1338.000000
     3     2  1985     1330.000000
     4     2  1985     1321.000000
     5     2  1985     1310.000000
     6     2  1985     1348.000000
     7     2  1985     1334.000000
     8     2  1985     1317.000000
     9     2  1985     1299.000000
    10     2  1985     1287.000000
    11     2  1985     1278.000000
    12     2  1985     1284.000000
    13     2  1985     1296.000000
    14     2  1985     1315.000000
    15     2  1985     1332.000000
    16     2  1985     1314.000000
    17     2  1985     1298.000000
    18     2  1985     1298.000000
    19     2  1985     1294.000000
    20     2  1985     1288.000000
    21     2  1985     1278.000000
    22     2  1985     1272.000000
    23     2  1985     1272.000000
    24     2  1985     1275.000000
    25     2  1985     1279.000000
    26     2  1985     1291.000000
    27     2  1985     1307.000000
    28     2  1985     1314.000000
     1     3  1985     1311.000000
     2     3  1985     1310.000000
     3     3  1985     1316.000000
     4     3  1985     1324.000000
     5     3  1985     1327.000000
     6     3  1985     1330.000000
     7     3  1985     1336.000000
     8     3  1985     1344.000000
     9     3  1985     1356.000000
    10     3  1985     1370.000000
    11     3  1985     1388.000000
    12     3  1985     1400.000000
    13     3  1985     1412.000000
    14     3  1985     1419.000000
    15     3  1985     1424.000000
    16     3  1985     1424.000000
    17     3  1985     1427.000000
    18     3  1985     1435.000000
    19     3  1985     1444.000000
    20     3  1985     1454.000000
    21     3  1985     1462.000000
    22     3  1985     1467.000000
    23     3  1985     1471.000000
    24     3  1985     1474.000000
    25     3  1985     1476.000000
    26     3  1985     1479.000000
    27     3  1985     1480.000000
    28     3  1985     1476.000000
    29     3  1985     1470.000000
    30     3  1985     1462.000000
    31     3  1985     1454.000000
     1     4  1985     1458.000000
     2     4  1985     1466.000000
     3     4  1985     1473.000000
     4     4  1985     1481.000000
     5     4  1985     1492.000000
     6     4  1985     1500.000000
     7     4  1985     1506.000000
     8     4  1985     1511.000000
     9     4  1985     1516.000000
    10     4  1985     1524.000000
    11     4  1985     1532.000000
    12     4  1985     1542.000000
    13     4  1985     1548.000000
    14     4  1985     1554.000000
    15     4  1985     1558.000000
    16     4  1985     1559.000000
    17     4  1985     1560.000000
    18     4  1985     1559.000000
    19     4  1985     1559.000000
    20     4  1985     1558.000000
    21     4  1985     1554.000000
    22     4  1985     1550.000000
    23     4  1985     1548.000000
    24     4  1985     1550.000000
    25     4  1985     1556.000000
    26     4  1985     1562.000000
    27     4  1985     1566.000000
    28     4  1985     1566.000000
    29     4  1985     1567.000000
    30     4  1985     1569.000000
     1     5  1985     1571.000000
     2     5  1985     1571.000000
     3     5  1985     1570.000000
     4     5  1985     1565.000000
     5     5  1985     1559.000000
     6     5  1985     1551.000000
     7     5  1985     1542.000000
     8     5  1985     1532.000000
     9     5  1985     1523.000000
    10     5  1985     1507.000000
    11     5  1985     1496.000000
    12     5  1985     1488.000000
    13     5  1985     1477.000000
    14     5  1985     1465.000000
    15     5  1985     1456.000000
    16     5  1985     1450.000000
    17     5  1985     1450.000000
    18     5  1985     1452.000000
    19     5  1985     1451.000000
    20     5  1985     1448.000000
    21     5  1985     1444.000000
    22     5  1985     1438.000000
    23     5  1985     1431.000000
    24     5  1985     1422.000000
    25     5  1985     1410.000000
    26     5  1985     1394.000000
    27     5  1985     1379.000000
    28     5  1985     1368.000000
    29     5  1985     1358.000000
    30     5  1985     1348.000000
    31     5  1985     1336.000000
     1     6  1985     1322.000000
     2     6  1985     1310.000000
     3     6  1985     1292.000000
     4     6  1985     1275.000000
     5     6  1985     1255.000000
     6     6  1985     1230.000000
     7     6  1985     1202.000000
     8     6  1985     1173.000000
     9     6  1985     1146.000000
    10     6  1985     1112.000000
    11     6  1985     1070.000000
    12     6  1985     1036.000000
    13     6  1985      987.000000
    14     6  1985      933.000000
    15     6  1985      893.000000
    16     6  1985      864.000000
    17     6  1985      826.000000
    18     6  1985      794.000000
    19     6  1985      761.000000
    20     6  1985      724.000000
    21     6  1985      746.000000
    22     6  1985      678.000000
    23     6  1985      652.000000
    24     6  1985      628.000000
    25     6  1985      606.000000
    26     6  1985      592.000000
    27     6  1985      578.000000
    28     6  1985      568.000000
    29     6  1985      563.000000
    30     6  1985      559.000000
     1     7  1985      552.000000
     2     7  1985      548.000000
     3     7  1985      544.000000
     4     7  1985      542.000000
     5     7  1985      543.000000
     6     7  1985      547.000000
     7     7  1985      554.000000
     8     7  1985      564.000000
     9     7  1985      576.000000
    10     7  1985      581.000000
    11     7  1985      582.000000
    12     7  1985      582.000000
    13     7  1985      579.000000
    14     7  1985      578.000000
    15     7  1985      581.000000
    16     7  1985      581.000000
    17     7  1985      577.000000
    18     7  1985      572.000000
    19     7  1985      560.000000
    20     7  1985      551.000000
    21     7  1985      542.000000
    22     7  1985      530.000000
    23     7  1985      519.000000
    24     7  1985      506.000000
    25     7  1985      494.000000
    26     7  1985      480.000000
    27     7  1985      466.000000
    28     7  1985      452.000000
    29     7  1985      438.000000
    30     7  1985      423.000000
    31     7  1985      408.000000
     1     8  1985      400.000000
     2     8  1985      399.000000
     3     8  1985      396.000000
     4     8  1985      391.000000
     5     8  1985      387.000000
     6     8  1985      384.000000
     7     8  1985      383.000000
     8     8  1985      384.000000
     9     8  1985      383.000000
    10     8  1985      385.000000
    11     8  1985      391.000000
    12     8  1985      395.000000
    13     8  1985      395.000000
    14     8  1985      395.000000
    15     8  1985      395.000000
    16     8  1985      392.000000
    17     8  1985      388.000000
    18     8  1985      385.000000
    19     8  1985      384.000000
    20     8  1985      386.000000
    21     8  1985      390.000000
    22     8  1985      395.000000
    23     8  1985      400.000000
    24     8  1985      404.000000
    25     8  1985      404.000000
    26     8  1985      400.000000
    27     8  1985      392.000000
    28     8  1985      390.000000
    29     8  1985      389.000000
    30     8  1985      392.000000
    31     8  1985      404.000000
     1     9  1985      422.000000
     2     9  1985      430.000000
     3     9  1985      432.000000
     4     9  1985      433.000000
     5     9  1985      432.000000
     6     9  1985      432.000000
     7     9  1985      434.000000
     8     9  1985      439.000000
     9     9  1985      441.000000
    10     9  1985      438.000000
    11     9  1985      434.000000
    12     9  1985      427.000000
    13     9  1985      415.000000
    14     9  1985      402.000000
    15     9  1985      388.000000
    16     9  1985      383.000000
    17     9  1985      383.000000
    18     9  1985      386.000000
    19     9  1985      389.000000
    20     9  1985      388.000000
    21     9  1985      393.000000
    22     9  1985      398.000000
    23     9  1985      406.000000
    24     9  1985      421.000000
    25     9  1985      430.000000
    26     9  1985      438.000000
    27     9  1985      448.000000
    28     9  1985      474.000000
    29     9  1985      490.000000
    30     9  1985      498.000000
     1    10  1985      499.000000
     2    10  1985      495.000000
     3    10  1985      490.000000
     4    10  1985      495.000000
     5    10  1985      500.000000
     6    10  1985      502.000000
     7    10  1985      510.000000
     8    10  1985      530.000000
     9    10  1985      568.000000
    10    10  1985      609.000000
    11    10  1985      642.000000
    12    10  1985      676.000000
    13    10  1985      704.000000
    14    10  1985      732.000000
    15    10  1985      764.000000
    16    10  1985      801.000000
    17    10  1985      832.000000
    18    10  1985      858.000000
    19    10  1985      838.000000
    20    10  1985      817.000000
    21    10  1985      831.000000
    22    10  1985      890.000000
    23    10  1985      933.000000
    24    10  1985      948.000000
