BOCADOACRE	-67.400	-8.736
    23     2  1984     1723.000000
    24     2  1984     1730.000000
    25     2  1984     1742.000000
    26     2  1984     1749.000000
    27     2  1984     1754.000000
    28     2  1984     1760.000000
    29     2  1984     1762.000000
     1     3  1984     1762.000000
     2     3  1984     1759.000000
     3     3  1984     1753.000000
     4     3  1984     1752.000000
     5     3  1984     1747.000000
     6     3  1984     1738.000000
     7     3  1984     1732.000000
     8     3  1984     1725.000000
     9     3  1984     1708.000000
    10     3  1984     1684.000000
    11     3  1984     1653.000000
    12     3  1984     1626.000000
    13     3  1984     1626.000000
    14     3  1984     1642.000000
    15     3  1984     1650.000000
    16     3  1984     1637.000000
    17     3  1984     1610.000000
    18     3  1984     1562.000000
    19     3  1984     1550.000000
    20     3  1984     1563.000000
    21     3  1984     1569.000000
    22     3  1984     1576.000000
    23     3  1984     1587.000000
    24     3  1984     1594.000000
    25     3  1984     1618.000000
    26     3  1984     1630.000000
    27     3  1984     1627.000000
    28     3  1984     1616.000000
    29     3  1984     1588.000000
    30     3  1984     1552.000000
    31     3  1984     1527.000000
     1     4  1984     1528.000000
     2     4  1984     1545.000000
     3     4  1984     1550.000000
     4     4  1984     1555.000000
     5     4  1984     1571.000000
     6     4  1984     1576.000000
     7     4  1984     1571.000000
     8     4  1984     1570.000000
     9     4  1984     1585.000000
    10     4  1984     1601.000000
    11     4  1984     1615.000000
    12     4  1984     1616.000000
    13     4  1984     1616.000000
    14     4  1984     1614.000000
    15     4  1984     1603.000000
    16     4  1984     1582.000000
    17     4  1984     1573.000000
    18     4  1984     1564.000000
    19     4  1984     1554.000000
    20     4  1984     1538.000000
    21     4  1984     1515.000000
    22     4  1984     1486.000000
    23     4  1984     1450.000000
    24     4  1984     1466.000000
    25     4  1984     1522.000000
    26     4  1984     1580.000000
    27     4  1984     1626.000000
    28     4  1984     1639.000000
    29     4  1984     1640.000000
    30     4  1984     1634.000000
     1     5  1984     1616.000000
     2     5  1984     1583.000000
     3     5  1984     1505.000000
     4     5  1984     1404.000000
     5     5  1984     1298.000000
     6     5  1984     1217.000000
     7     5  1984     1178.000000
     8     5  1984     1135.000000
     9     5  1984     1093.000000
    10     5  1984     1053.000000
    11     5  1984     1012.000000
    12     5  1984      978.000000
    13     5  1984      954.000000
    14     5  1984      969.000000
    15     5  1984      988.000000
    16     5  1984      981.000000
    17     5  1984      967.000000
    18     5  1984      940.000000
    19     5  1984      904.000000
    20     5  1984      870.000000
    21     5  1984      856.000000
    22     5  1984      848.000000
    23     5  1984      840.000000
    24     5  1984      836.000000
    25     5  1984      834.000000
    26     5  1984      826.000000
    27     5  1984      813.000000
    28     5  1984      798.000000
    29     5  1984      784.000000
    30     5  1984      805.000000
    31     5  1984      816.000000
     1     6  1984      812.000000
     2     6  1984      792.000000
     3     6  1984      771.000000
     4     6  1984      758.000000
     5     6  1984      740.000000
     6     6  1984      728.000000
     7     6  1984      722.000000
     8     6  1984      717.000000
     9     6  1984      713.000000
    10     6  1984      704.000000
    11     6  1984      690.000000
    12     6  1984      679.000000
    13     6  1984      673.000000
    14     6  1984      672.000000
    15     6  1984      669.000000
    16     6  1984      666.000000
    17     6  1984      660.000000
    18     6  1984      660.000000
    19     6  1984      667.000000
    20     6  1984      667.000000
    21     6  1984      658.000000
    22     6  1984      646.000000
    23     6  1984      636.000000
    24     6  1984      626.000000
    25     6  1984      619.000000
    26     6  1984      615.000000
    27     6  1984      611.000000
    28     6  1984      608.000000
    29     6  1984      602.000000
    30     6  1984      592.000000
     1     7  1984      584.000000
     2     7  1984      581.000000
     3     7  1984      578.000000
     4     7  1984      576.000000
     5     7  1984      574.000000
     6     7  1984      572.000000
     7     7  1984      571.000000
     8     7  1984      575.000000
     9     7  1984      574.000000
    10     7  1984      571.000000
    11     7  1984      564.000000
    12     7  1984      561.000000
    13     7  1984      558.000000
    14     7  1984      555.000000
    15     7  1984      551.000000
    16     7  1984      547.000000
    17     7  1984      546.000000
    18     7  1984      542.000000
    19     7  1984      543.000000
    20     7  1984      539.000000
    21     7  1984      534.000000
    22     7  1984      531.000000
    23     7  1984      527.000000
    24     7  1984      523.000000
    25     7  1984      521.000000
    26     7  1984      520.000000
    27     7  1984      518.000000
    28     7  1984      516.000000
    29     7  1984      516.000000
    30     7  1984      516.000000
    31     7  1984      516.000000
     1     8  1984      517.000000
     2     8  1984      512.000000
     3     8  1984      504.000000
     4     8  1984      495.000000
     5     8  1984      490.000000
     6     8  1984      487.000000
     7     8  1984      483.000000
     8     8  1984      480.000000
     9     8  1984      478.000000
    10     8  1984      476.000000
    11     8  1984      474.000000
    12     8  1984      472.000000
    13     8  1984      469.000000
    14     8  1984      465.000000
    15     8  1984      464.000000
    16     8  1984      464.000000
    17     8  1984      460.000000
    18     8  1984      459.000000
    19     8  1984      458.000000
    20     8  1984      456.000000
    21     8  1984      455.000000
    22     8  1984      454.000000
    23     8  1984      452.000000
    24     8  1984      452.000000
    25     8  1984      452.000000
    26     8  1984      450.000000
    27     8  1984      449.000000
    28     8  1984      448.000000
    29     8  1984      446.000000
    30     8  1984      446.000000
    31     8  1984      446.000000
     1     9  1984      445.000000
     2     9  1984      444.000000
     3     9  1984      447.000000
     4     9  1984      449.000000
     5     9  1984      450.000000
     6     9  1984      450.000000
     7     9  1984      449.000000
     8     9  1984      450.000000
     9     9  1984      455.000000
    10     9  1984      467.000000
    11     9  1984      477.000000
    12     9  1984      487.000000
    13     9  1984      488.000000
    14     9  1984      485.000000
    15     9  1984      479.000000
    16     9  1984      479.000000
    17     9  1984      479.000000
    18     9  1984      479.000000
    19     9  1984      482.000000
    20     9  1984      482.000000
    21     9  1984      476.000000
    22     9  1984      466.000000
    23     9  1984      461.000000
    24     9  1984      461.000000
    25     9  1984      468.000000
    26     9  1984      482.000000
    27     9  1984      485.000000
    28     9  1984      482.000000
    29     9  1984      484.000000
    30     9  1984      491.000000
     1    10  1984      498.000000
     2    10  1984      503.000000
     3    10  1984      504.000000
     4    10  1984      506.000000
     5    10  1984      506.000000
     6    10  1984      503.000000
     7    10  1984      501.000000
     8    10  1984      496.000000
     9    10  1984      488.000000
    10    10  1984      481.000000
    11    10  1984      477.000000
    12    10  1984      477.000000
    13    10  1984      478.000000
    14    10  1984      477.000000
    15    10  1984      481.000000
    16    10  1984      488.000000
    17    10  1984      488.000000
    18    10  1984      488.000000
    19    10  1984      487.000000
    20    10  1984      514.000000
    21    10  1984      550.000000
    22    10  1984      555.000000
    23    10  1984      566.000000
    24    10  1984      592.000000
    25    10  1984      609.000000
    26    10  1984      619.000000
    27    10  1984      628.000000
    28    10  1984      664.000000
    29    10  1984      701.000000
    30    10  1984      727.000000
    31    10  1984      750.000000
     1    11  1984      809.000000
     2    11  1984      878.000000
     3    11  1984      899.000000
     4    11  1984      881.000000
     5    11  1984      852.000000
     6    11  1984      861.000000
     7    11  1984      907.000000
     8    11  1984      928.000000
     9    11  1984      928.000000
    10    11  1984      914.000000
    11    11  1984      902.000000
    12    11  1984      917.000000
    13    11  1984      958.000000
    14    11  1984      963.000000
    15    11  1984      951.000000
    16    11  1984      986.000000
    17    11  1984     1053.000000
    18    11  1984     1102.000000
    19    11  1984     1126.000000
    20    11  1984     1133.000000
    21    11  1984     1143.000000
    22    11  1984     1190.000000
    23    11  1984     1212.000000
    24    11  1984     1258.000000
    25    11  1984     1293.000000
    26    11  1984     1289.000000
    27    11  1984     1277.000000
    28    11  1984     1329.000000
    29    11  1984     1380.000000
    30    11  1984     1398.000000
     1    12  1984     1372.000000
     2    12  1984     1308.000000
     3    12  1984     1252.000000
     4    12  1984     1219.000000
     5    12  1984     1201.000000
     6    12  1984     1196.000000
     7    12  1984     1220.000000
     8    12  1984     1277.000000
     9    12  1984     1313.000000
    10    12  1984     1358.000000
    11    12  1984     1426.000000
    12    12  1984     1476.000000
    13    12  1984     1506.000000
    14    12  1984     1540.000000
    15    12  1984     1578.000000
    16    12  1984     1615.000000
    17    12  1984     1628.000000
    18    12  1984     1617.000000
    19    12  1984     1554.000000
    20    12  1984     1470.000000
    21    12  1984     1408.000000
    22    12  1984     1358.000000
    23    12  1984     1304.000000
    24    12  1984     1244.000000
    25    12  1984     1194.000000
    26    12  1984     1169.000000
    27    12  1984     1155.000000
    28    12  1984     1216.000000
    29    12  1984     1289.000000
    30    12  1984     1310.000000
    31    12  1984     1340.000000
     1     1  1985     1399.000000
     2     1  1985     1436.000000
     3     1  1985     1428.000000
     4     1  1985     1386.000000
     5     1  1985     1360.000000
     6     1  1985     1390.000000
     7     1  1985     1424.000000
     8     1  1985     1515.000000
     9     1  1985     1618.000000
    10     1  1985     1684.000000
    11     1  1985     1715.000000
    12     1  1985     1732.000000
    13     1  1985     1738.000000
    14     1  1985     1739.000000
    15     1  1985     1741.000000
    16     1  1985     1748.000000
    17     1  1985     1762.000000
    18     1  1985     1774.000000
    19     1  1985     1782.000000
    20     1  1985     1773.000000
    21     1  1985     1750.000000
    22     1  1985     1732.000000
    23     1  1985     1724.000000
    24     1  1985     1713.000000
    25     1  1985     1694.000000
    26     1  1985     1674.000000
    27     1  1985     1650.000000
    28     1  1985     1616.000000
    29     1  1985     1576.000000
    30     1  1985     1550.000000
    31     1  1985     1527.000000
     1     2  1985     1504.000000
     2     2  1985     1486.000000
     3     2  1985     1486.000000
     4     2  1985     1492.000000
     5     2  1985     1466.000000
     6     2  1985     1426.000000
     7     2  1985     1382.000000
     8     2  1985     1328.000000
     9     2  1985     1332.000000
    10     2  1985     1254.000000
    11     2  1985     1233.000000
    12     2  1985     1226.000000
    13     2  1985     1214.000000
    14     2  1985     1236.000000
    15     2  1985     1312.000000
    16     2  1985     1382.000000
    17     2  1985     1377.000000
    18     2  1985     1315.000000
    19     2  1985     1274.000000
    20     2  1985     1262.000000
    21     2  1985     1280.000000
    22     2  1985     1303.000000
    23     2  1985     1328.000000
    24     2  1985     1391.000000
    25     2  1985     1442.000000
    26     2  1985     1455.000000
    27     2  1985     1452.000000
    28     2  1985     1440.000000
     1     3  1985     1420.000000
     2     3  1985     1417.000000
     3     3  1985     1430.000000
     4     3  1985     1473.000000
     5     3  1985     1546.000000
     6     3  1985     1592.000000
     7     3  1985     1630.000000
     8     3  1985     1676.000000
     9     3  1985     1708.000000
    10     3  1985     1738.000000
    11     3  1985     1754.000000
    12     3  1985     1770.000000
    13     3  1985     1785.000000
    14     3  1985     1799.000000
    15     3  1985     1812.000000
    16     3  1985     1812.000000
    17     3  1985     1806.000000
    18     3  1985     1804.000000
    19     3  1985     1803.000000
    20     3  1985     1805.000000
    21     3  1985     1799.000000
    22     3  1985     1788.000000
    23     3  1985     1774.000000
    24     3  1985     1769.000000
    25     3  1985     1762.000000
    26     3  1985     1740.000000
    27     3  1985     1689.000000
    28     3  1985     1622.000000
    29     3  1985     1564.000000
    30     3  1985     1522.000000
    31     3  1985     1494.000000
     1     4  1985     1486.000000
     2     4  1985     1501.000000
     3     4  1985     1562.000000
     4     4  1985     1603.000000
     5     4  1985     1626.000000
     6     4  1985     1681.000000
     7     4  1985     1713.000000
     8     4  1985     1734.000000
     9     4  1985     1751.000000
    10     4  1985     1767.000000
    11     4  1985     1783.000000
    12     4  1985     1795.000000
    13     4  1985     1813.000000
    14     4  1985     1827.000000
    15     4  1985     1838.000000
    16     4  1985     1842.000000
    17     4  1985     1835.000000
    18     4  1985     1814.000000
    19     4  1985     1786.000000
    20     4  1985     1757.000000
    21     4  1985     1738.000000
    22     4  1985     1734.000000
    23     4  1985     1739.000000
    24     4  1985     1724.000000
    25     4  1985     1706.000000
    26     4  1985     1704.000000
    27     4  1985     1724.000000
    28     4  1985     1736.000000
    29     4  1985     1725.000000
    30     4  1985     1714.000000
     1     5  1985     1704.000000
     2     5  1985     1690.000000
     3     5  1985     1672.000000
     4     5  1985     1676.000000
     5     5  1985     1691.000000
     6     5  1985     1693.000000
     7     5  1985     1672.000000
     8     5  1985     1623.000000
     9     5  1985     1532.000000
    10     5  1985     1455.000000
    11     5  1985     1360.000000
    12     5  1985     1260.000000
    13     5  1985     1211.000000
    14     5  1985     1172.000000
    15     5  1985     1157.000000
    16     5  1985     1140.000000
    17     5  1985     1119.000000
    18     5  1985     1103.000000
    19     5  1985     1090.000000
    20     5  1985     1079.000000
    21     5  1985     1084.000000
    22     5  1985     1090.000000
    23     5  1985     1072.000000
    24     5  1985     1040.000000
    25     5  1985     1015.000000
    26     5  1985      990.000000
    27     5  1985      972.000000
    28     5  1985      958.000000
    29     5  1985      948.000000
    30     5  1985      938.000000
    31     5  1985      919.000000
     1     6  1985      895.000000
     2     6  1985      874.000000
     3     6  1985      860.000000
     4     6  1985      844.000000
     5     6  1985      824.000000
     6     6  1985      808.000000
     7     6  1985      794.000000
     8     6  1985      778.000000
     9     6  1985      766.000000
    10     6  1985      755.000000
    11     6  1985      744.000000
    12     6  1985      742.000000
    13     6  1985      732.000000
    14     6  1985      752.000000
    15     6  1985      742.000000
    16     6  1985      723.000000
    17     6  1985      709.000000
    18     6  1985      698.000000
    19     6  1985      688.000000
    20     6  1985      679.000000
    21     6  1985      672.000000
    22     6  1985      664.000000
    23     6  1985      658.000000
    24     6  1985      652.000000
    25     6  1985      646.000000
    26     6  1985      639.000000
    27     6  1985      632.000000
    28     6  1985      626.000000
    29     6  1985      622.000000
    30     6  1985      618.000000
     1     7  1985      614.000000
     2     7  1985      612.000000
     3     7  1985      610.000000
     4     7  1985      613.000000
     5     7  1985      617.000000
     6     7  1985      619.000000
     7     7  1985      618.000000
     8     7  1985      615.000000
     9     7  1985      607.000000
    10     7  1985      598.000000
    11     7  1985      592.000000
    12     7  1985      587.000000
    13     7  1985      583.000000
    14     7  1985      579.000000
    15     7  1985      573.000000
    16     7  1985      571.000000
    17     7  1985      575.000000
    18     7  1985      580.000000
    19     7  1985      582.000000
    20     7  1985      578.000000
    21     7  1985      572.000000
    22     7  1985      568.000000
    23     7  1985      566.000000
    24     7  1985      564.000000
    25     7  1985      558.000000
    26     7  1985      550.000000
    27     7  1985      542.000000
    28     7  1985      537.000000
    29     7  1985      536.000000
    30     7  1985      534.000000
    31     7  1985      526.000000
     1     8  1985      524.000000
     2     8  1985      518.000000
     3     8  1985      518.000000
