BOCADOPOMPEU-JUSANTE	-65.043	-10.918
     8     7  1984      139.000000
     9     7  1984      135.000000
    10     7  1984      132.000000
    11     7  1984      129.000000
    12     7  1984      126.000000
    13     7  1984      123.000000
    14     7  1984      120.000000
    15     7  1984      117.000000
    16     7  1984      114.000000
    17     7  1984      111.000000
    18     7  1984      107.000000
    19     7  1984      104.000000
    20     7  1984       99.000000
    21     7  1984       95.000000
    22     7  1984       91.000000
    23     7  1984       88.000000
    24     7  1984       85.000000
    25     7  1984       81.000000
    26     7  1984       77.000000
    27     7  1984       75.000000
    28     7  1984       72.000000
    29     7  1984       68.000000
    30     7  1984       64.000000
    31     7  1984       61.000000
     1     8  1984       58.000000
     2     8  1984       54.000000
     3     8  1984       51.000000
     4     8  1984       48.000000
     5     8  1984       44.000000
     6     8  1984       42.000000
     7     8  1984       39.000000
     8     8  1984       36.000000
     9     8  1984       33.000000
    10     8  1984       31.000000
    11     8  1984       29.000000
    12     8  1984       26.000000
    13     8  1984       23.000000
    14     8  1984       21.000000
    15     8  1984       19.000000
    16     8  1984       17.000000
    17     8  1984       14.000000
    18     8  1984       11.000000
    19     8  1984        9.000000
    20     8  1984        9.000000
    21     8  1984        6.000000
    22     8  1984        7.000000
    23     8  1984        7.000000
    24     8  1984        6.000000
    25     8  1984        6.000000
    26     8  1984        5.000000
    27     8  1984        5.000000
    28     8  1984        4.000000
    29     8  1984        4.000000
    30     8  1984        3.000000
    31     8  1984        3.000000
     1     9  1984        3.000000
     2     9  1984        5.000000
     3     9  1984        4.000000
     4     9  1984        3.000000
     5     9  1984        2.000000
     6     9  1984        2.000000
     7     9  1984        1.000000
     8     9  1984        1.000000
     9     9  1984        4.000000
    10     9  1984        4.000000
    11     9  1984        5.000000
    12     9  1984        6.000000
    13     9  1984        6.000000
    14     9  1984        7.000000
    15     9  1984        8.000000
    16     9  1984       11.000000
    17     9  1984       12.000000
    18     9  1984       13.000000
    19     9  1984       14.000000
    20     9  1984       12.000000
    21     9  1984       10.000000
    22     9  1984       11.000000
    23     9  1984       10.000000
    24     9  1984       13.000000
    25     9  1984       14.000000
    26     9  1984       11.000000
    27     9  1984       12.000000
    28     9  1984       10.000000
    29     9  1984       10.000000
    30     9  1984        8.000000
     1    10  1984        9.000000
     2    10  1984       10.000000
     3    10  1984       11.000000
     4    10  1984       12.000000
     5    10  1984       10.000000
     6    10  1984        7.000000
     7    10  1984        7.000000
     8    10  1984        9.000000
     9    10  1984       12.000000
    10    10  1984       14.000000
    11    10  1984       18.000000
    12    10  1984       20.000000
    13    10  1984       21.000000
    14    10  1984       24.000000
    15    10  1984       21.000000
    16    10  1984       13.000000
    17    10  1984       14.000000
    18    10  1984       14.000000
    19    10  1984       15.000000
    20    10  1984       15.000000
    21    10  1984       16.000000
    22    10  1984       16.000000
    23    10  1984       14.000000
    24    10  1984       14.000000
    25    10  1984        9.000000
    26    10  1984        5.000000
    27    10  1984        4.000000
    28    10  1984        1.000000
    29    10  1984        2.000000
    30    10  1984        7.000000
    31    10  1984       12.000000
     1    11  1984       16.000000
     2    11  1984       22.000000
     3    11  1984       31.000000
     4    11  1984       42.000000
     5    11  1984       44.000000
     6    11  1984       45.000000
     7    11  1984       46.000000
     8    11  1984       45.000000
     9    11  1984       42.000000
    10    11  1984       42.000000
    11    11  1984       45.000000
    12    11  1984       45.000000
    13    11  1984       43.000000
    14    11  1984       44.000000
    15    11  1984       46.000000
    16    11  1984       48.000000
    17    11  1984       51.000000
    18    11  1984       54.000000
    19    11  1984       55.000000
    20    11  1984       58.000000
    21    11  1984       63.000000
    22    11  1984       70.000000
    23    11  1984       75.000000
    24    11  1984       78.000000
    25    11  1984       79.000000
    26    11  1984       89.000000
    27    11  1984      102.000000
    28    11  1984      108.000000
    29    11  1984      118.000000
    30    11  1984      121.000000
     1    12  1984      125.000000
     2    12  1984      128.000000
     3    12  1984      130.000000
     4    12  1984      143.000000
     5    12  1984      163.000000
     6    12  1984      172.000000
     7    12  1984      177.000000
     8    12  1984      186.000000
     9    12  1984      198.000000
    10    12  1984      199.000000
    11    12  1984      199.000000
    12    12  1984      198.000000
    13    12  1984      196.000000
    14    12  1984      198.000000
    15    12  1984      201.000000
    16    12  1984      201.000000
    17    12  1984      200.000000
    18    12  1984      203.000000
    19    12  1984      215.000000
    20    12  1984      223.000000
    21    12  1984      230.000000
    22    12  1984      242.000000
    23    12  1984      251.000000
    24    12  1984      270.000000
    25    12  1984      286.000000
    26    12  1984      297.000000
    27    12  1984      303.000000
    28    12  1984      319.000000
    29    12  1984      334.000000
    30    12  1984      342.000000
    31    12  1984      350.000000
     1     1  1985      365.000000
     2     1  1985      369.000000
     3     1  1985      373.000000
     4     1  1985      377.000000
     5     1  1985      382.000000
     6     1  1985      398.000000
     7     1  1985      419.000000
     8     1  1985      442.000000
