SANTOSDUMONT	-68.246	-6.440
    26     5  1984     1931.000000
    27     5  1984     1921.000000
    28     5  1984     1911.000000
    29     5  1984     1899.000000
    30     5  1984     1887.000000
    31     5  1984     1876.000000
     1     6  1984     1863.000000
     2     6  1984     1854.000000
     3     6  1984     1844.000000
     4     6  1984     1833.000000
     5     6  1984     1817.000000
     6     6  1984     1804.000000
     7     6  1984     1786.000000
     8     6  1984     1764.000000
     9     6  1984     1739.000000
    10     6  1984     1711.000000
    11     6  1984     1681.000000
    12     6  1984     1643.000000
    13     6  1984     1605.000000
    14     6  1984     1546.000000
    15     6  1984     1485.000000
    16     6  1984     1416.000000
    17     6  1984     1354.000000
    18     6  1984     1304.000000
    19     6  1984     1257.000000
    20     6  1984     1227.000000
    21     6  1984     1205.000000
    22     6  1984     1192.000000
    23     6  1984     1182.000000
    24     6  1984     1174.000000
    25     6  1984     1170.000000
    26     6  1984     1167.000000
    27     6  1984     1164.000000
    28     6  1984     1157.000000
    29     6  1984     1146.000000
    30     6  1984     1134.000000
     1     7  1984     1120.000000
     2     7  1984     1105.000000
     3     7  1984     1090.000000
     4     7  1984     1074.000000
     5     7  1984     1058.000000
     6     7  1984     1044.000000
     7     7  1984     1030.000000
     8     7  1984     1023.000000
     9     7  1984     1022.000000
    10     7  1984     1020.000000
    11     7  1984     1017.000000
    12     7  1984     1013.000000
    13     7  1984     1008.000000
    14     7  1984     1000.000000
    15     7  1984      990.000000
    16     7  1984      980.000000
    17     7  1984      971.000000
    18     7  1984      960.000000
    19     7  1984      950.000000
    20     7  1984      940.000000
    21     7  1984      929.000000
    22     7  1984      923.000000
    23     7  1984      916.000000
    24     7  1984      912.000000
    25     7  1984      907.000000
    26     7  1984      902.000000
    27     7  1984      896.000000
    28     7  1984      888.000000
    29     7  1984      876.000000
    30     7  1984      868.000000
    31     7  1984      858.000000
     1     8  1984      846.000000
     2     8  1984      836.000000
     3     8  1984      828.000000
     4     8  1984      818.000000
     5     8  1984      810.000000
     6     8  1984      800.000000
     7     8  1984      788.000000
     8     8  1984      778.000000
     9     8  1984      770.000000
    10     8  1984      759.000000
    11     8  1984      751.000000
    12     8  1984      743.000000
    13     8  1984      734.000000
    14     8  1984      726.000000
    15     8  1984      720.000000
    16     8  1984      714.000000
    17     8  1984      716.000000
    18     8  1984      714.000000
    19     8  1984      708.000000
    20     8  1984      704.000000
    21     8  1984      702.000000
    22     8  1984      712.000000
    23     8  1984      714.000000
    24     8  1984      714.000000
    25     8  1984      712.000000
    26     8  1984      708.000000
    27     8  1984      704.000000
    28     8  1984      702.000000
    29     8  1984      704.000000
    30     8  1984      712.000000
    31     8  1984      721.000000
     1     9  1984      725.000000
     2     9  1984      728.000000
     3     9  1984      731.000000
     4     9  1984      730.000000
     5     9  1984      730.000000
     6     9  1984      726.000000
     7     9  1984      722.000000
     8     9  1984      720.000000
     9     9  1984      717.000000
    10     9  1984      717.000000
    11     9  1984      719.000000
    12     9  1984      721.000000
    13     9  1984      725.000000
    14     9  1984      734.000000
    15     9  1984      743.000000
    16     9  1984      751.000000
    17     9  1984      758.000000
    18     9  1984      766.000000
    19     9  1984      769.000000
    20     9  1984      765.000000
    21     9  1984      762.000000
    22     9  1984      764.000000
    23     9  1984      766.000000
    24     9  1984      765.000000
    25     9  1984      762.000000
    26     9  1984      759.000000
    27     9  1984      758.000000
    28     9  1984      758.000000
    29     9  1984      762.000000
    30     9  1984      770.000000
     1    10  1984      776.000000
     2    10  1984      785.000000
     3    10  1984      790.000000
     4    10  1984      794.000000
     5    10  1984      793.000000
     6    10  1984      791.000000
     7    10  1984      787.000000
     8    10  1984      783.000000
     9    10  1984      782.000000
    10    10  1984      777.000000
    11    10  1984      769.000000
    12    10  1984      760.000000
    13    10  1984      758.000000
    14    10  1984      758.000000
    15    10  1984      758.000000
    16    10  1984      758.000000
    17    10  1984      758.000000
    18    10  1984      764.000000
    19    10  1984      781.000000
    20    10  1984      795.000000
    21    10  1984      800.000000
    22    10  1984      820.000000
    23    10  1984      846.000000
    24    10  1984      875.000000
    25    10  1984      926.000000
    26    10  1984      974.000000
    27    10  1984     1020.000000
    28    10  1984     1065.000000
    29    10  1984     1112.000000
    30    10  1984     1156.000000
    31    10  1984     1192.000000
     1    11  1984     1226.000000
     2    11  1984     1248.000000
     3    11  1984     1271.000000
     4    11  1984     1278.000000
     5    11  1984     1274.000000
     6    11  1984     1262.000000
     7    11  1984     1247.000000
     8    11  1984     1240.000000
     9    11  1984     1240.000000
    10    11  1984     1255.000000
    11    11  1984     1280.000000
    12    11  1984     1304.000000
    13    11  1984     1327.000000
    14    11  1984     1350.000000
    15    11  1984     1368.000000
    16    11  1984     1385.000000
    17    11  1984     1402.000000
    18    11  1984     1420.000000
    19    11  1984     1446.000000
    20    11  1984     1482.000000
    21    11  1984     1522.000000
    22    11  1984     1552.000000
    23    11  1984     1578.000000
    24    11  1984     1594.000000
    25    11  1984     1608.000000
    26    11  1984     1614.000000
    27    11  1984     1622.000000
    28    11  1984     1630.000000
    29    11  1984     1640.000000
    30    11  1984     1653.000000
     1    12  1984     1666.000000
     2    12  1984     1682.000000
     3    12  1984     1695.000000
     4    12  1984     1708.000000
     5    12  1984     1716.000000
     6    12  1984     1722.000000
     7    12  1984     1726.000000
     8    12  1984     1731.000000
     9    12  1984     1737.000000
    10    12  1984     1746.000000
    11    12  1984     1758.000000
    12    12  1984     1768.000000
    13    12  1984     1776.000000
    14    12  1984     1784.000000
    15    12  1984     1791.000000
    16    12  1984     1796.000000
    17    12  1984     1803.000000
    18    12  1984     1810.000000
    19    12  1984     1819.000000
    20    12  1984     1824.000000
    21    12  1984     1831.000000
    22    12  1984     1835.000000
    23    12  1984     1840.000000
    24    12  1984     1842.000000
    25    12  1984     1844.000000
    26    12  1984     1847.000000
    27    12  1984     1850.000000
    28    12  1984     1852.000000
    29    12  1984     1853.000000
    30    12  1984     1852.000000
    31    12  1984     1852.000000
     1     1  1985     1852.000000
     2     1  1985     1854.000000
     3     1  1985     1856.000000
     4     1  1985     1858.000000
     5     1  1985     1860.000000
     6     1  1985     1862.000000
     7     1  1985     1864.000000
     8     1  1985     1866.000000
     9     1  1985     1867.000000
    10     1  1985     1868.000000
    11     1  1985     1869.000000
    12     1  1985     1870.000000
    13     1  1985     1872.000000
    14     1  1985     1880.000000
    15     1  1985     1888.000000
    16     1  1985     1891.000000
    17     1  1985     1896.000000
    18     1  1985     1898.000000
    19     1  1985     1904.000000
    20     1  1985     1906.000000
    21     1  1985     1906.000000
    22     1  1985     1906.000000
    23     1  1985     1906.000000
    24     1  1985     1906.000000
    25     1  1985     1908.000000
    26     1  1985     1907.000000
    27     1  1985     1906.000000
    28     1  1985     1912.000000
    29     1  1985     1912.000000
    30     1  1985     1910.000000
    31     1  1985     1906.000000
     1     2  1985     1901.000000
     2     2  1985     1897.000000
     3     2  1985     1892.000000
     4     2  1985     1889.000000
     5     2  1985     1885.000000
     6     2  1985     1880.000000
     7     2  1985     1874.000000
     8     2  1985     1867.000000
     9     2  1985     1863.000000
    10     2  1985     1856.000000
    11     2  1985     1848.000000
    12     2  1985     1844.000000
    13     2  1985     1834.000000
    14     2  1985     1823.000000
    15     2  1985     1814.000000
    16     2  1985     1808.000000
    17     2  1985     1803.000000
    18     2  1985     1798.000000
    19     2  1985     1794.000000
    20     2  1985     1789.000000
    21     2  1985     1784.000000
    22     2  1985     1780.000000
    23     2  1985     1779.000000
    24     2  1985     1776.000000
    25     2  1985     1772.000000
    26     2  1985     1766.000000
    27     2  1985     1763.000000
    28     2  1985     1761.000000
     1     3  1985     1760.000000
     2     3  1985     1756.000000
     3     3  1985     1756.000000
     4     3  1985     1760.000000
     5     3  1985     1760.000000
     6     3  1985     1758.000000
     7     3  1985     1758.000000
     8     3  1985     1778.000000
     9     3  1985     1800.000000
    10     3  1985     1809.000000
    11     3  1985     1812.000000
    12     3  1985     1818.000000
    13     3  1985     1822.000000
    14     3  1985     1825.000000
    15     3  1985     1829.000000
    16     3  1985     1833.000000
    17     3  1985     1837.000000
    18     3  1985     1839.000000
    19     3  1985     1840.000000
    20     3  1985     1848.000000
    21     3  1985     1853.000000
    22     3  1985     1858.000000
    23     3  1985     1862.000000
    24     3  1985     1864.000000
    25     3  1985     1865.000000
    26     3  1985     1871.000000
    27     3  1985     1876.000000
    28     3  1985     1878.000000
    29     3  1985     1881.000000
    30     3  1985     1885.000000
    31     3  1985     1888.000000
     1     4  1985     1892.000000
     2     4  1985     1896.000000
     3     4  1985     1896.000000
     4     4  1985     1898.000000
     5     4  1985     1907.000000
     6     4  1985     1914.000000
     7     4  1985     1914.000000
     8     4  1985     1913.000000
     9     4  1985     1914.000000
    10     4  1985     1916.000000
    11     4  1985     1917.000000
    12     4  1985     1918.000000
    13     4  1985     1920.000000
    14     4  1985     1920.000000
    15     4  1985     1921.000000
    16     4  1985     1928.000000
    17     4  1985     1930.000000
    18     4  1985     1930.000000
    19     4  1985     1934.000000
    20     4  1985     1936.000000
    21     4  1985     1939.000000
    22     4  1985     1941.000000
    23     4  1985     1942.000000
    24     4  1985     1944.000000
    25     4  1985     1948.000000
    26     4  1985     1962.000000
    27     4  1985     1968.000000
    28     4  1985     1968.000000
    29     4  1985     1969.000000
    30     4  1985     1970.000000
     1     5  1985     1973.000000
     2     5  1985     1977.000000
     3     5  1985     1980.000000
     4     5  1985     1982.000000
     5     5  1985     1986.000000
     6     5  1985     1988.000000
     7     5  1985     1992.000000
     8     5  1985     1998.000000
     9     5  1985     2000.000000
    10     5  1985     2000.000000
    11     5  1985     1999.000000
    12     5  1985     1998.000000
    13     5  1985     1996.000000
    14     5  1985     1992.000000
    15     5  1985     1990.000000
    16     5  1985     1984.000000
    17     5  1985     1976.000000
    18     5  1985     1968.000000
    19     5  1985     1960.000000
    20     5  1985     1952.000000
    21     5  1985     1942.000000
    22     5  1985     1935.000000
    23     5  1985     1928.000000
    24     5  1985     1918.000000
    25     5  1985     1910.000000
    26     5  1985     1901.000000
    27     5  1985     1892.000000
    28     5  1985     1884.000000
    29     5  1985     1872.000000
    30     5  1985     1860.000000
    31     5  1985     1846.000000
     1     6  1985     1836.000000
     2     6  1985     1822.000000
     3     6  1985     1814.000000
     4     6  1985     1808.000000
     5     6  1985     1796.000000
     6     6  1985     1782.000000
     7     6  1985     1769.000000
     8     6  1985     1757.000000
     9     6  1985     1740.000000
    10     6  1985     1710.000000
    11     6  1985     1677.000000
    12     6  1985     1625.000000
    13     6  1985     1576.000000
    14     6  1985     1530.000000
    15     6  1985     1502.000000
    16     6  1985     1460.000000
    17     6  1985     1412.000000
    18     6  1985     1388.000000
    19     6  1985     1336.000000
    20     6  1985     1278.000000
    21     6  1985     1245.000000
    22     6  1985     1206.000000
    23     6  1985     1174.000000
    24     6  1985     1130.000000
    25     6  1985     1105.000000
    26     6  1985     1080.000000
    27     6  1985     1051.000000
    28     6  1985     1028.000000
    29     6  1985     1009.000000
    30     6  1985      992.000000
     1     7  1985      976.000000
     2     7  1985      962.000000
     3     7  1985      950.000000
     4     7  1985      942.000000
     5     7  1985      935.000000
     6     7  1985      928.000000
     7     7  1985      922.000000
     8     7  1985      918.000000
     9     7  1985      916.000000
    10     7  1985      916.000000
    11     7  1985      919.000000
    12     7  1985      924.000000
