COARI	-63.143	-4.082
    22     2  1984     1238.000000
    23     2  1984     1248.000000
    24     2  1984     1256.000000
    25     2  1984     1266.000000
    26     2  1984     1276.000000
    27     2  1984     1285.000000
    28     2  1984     1292.000000
    29     2  1984     1302.000000
     1     3  1984     1307.000000
     2     3  1984     1316.000000
     3     3  1984     1323.000000
     4     3  1984     1333.000000
     5     3  1984     1344.000000
     6     3  1984     1353.000000
     7     3  1984     1362.000000
     8     3  1984     1370.000000
     9     3  1984     1376.000000
    10     3  1984     1382.000000
    11     3  1984     1388.000000
    12     3  1984     1396.000000
    13     3  1984     1403.000000
    14     3  1984     1406.000000
    15     3  1984     1410.000000
    16     3  1984     1413.000000
    17     3  1984     1417.000000
    18     3  1984     1420.000000
    19     3  1984     1428.000000
    20     3  1984     1436.000000
    21     3  1984     1438.000000
    22     3  1984     1441.000000
    23     3  1984     1447.000000
    24     3  1984     1448.000000
    25     3  1984     1449.000000
    26     3  1984     1452.000000
    27     3  1984     1456.000000
    28     3  1984     1456.000000
    29     3  1984     1456.000000
    30     3  1984     1459.000000
    31     3  1984     1462.000000
     1     4  1984     1464.000000
     2     4  1984     1466.000000
     3     4  1984     1467.000000
     4     4  1984     1466.000000
     5     4  1984     1466.000000
     6     4  1984     1467.000000
     7     4  1984     1467.000000
     8     4  1984     1468.000000
     9     4  1984     1468.000000
    10     4  1984     1467.000000
    11     4  1984     1468.000000
    12     4  1984     1469.000000
    13     4  1984     1470.000000
    14     4  1984     1470.000000
    15     4  1984     1473.000000
    16     4  1984     1474.000000
    17     4  1984     1476.000000
    18     4  1984     1479.000000
    19     4  1984     1481.000000
    20     4  1984     1484.000000
    21     4  1984     1486.000000
    22     4  1984     1489.000000
    23     4  1984     1492.000000
    24     4  1984     1496.000000
    25     4  1984     1500.000000
    26     4  1984     1504.000000
    27     4  1984     1508.000000
    28     4  1984     1512.000000
    29     4  1984     1514.000000
    30     4  1984     1520.000000
     1     5  1984     1523.000000
     2     5  1984     1526.000000
     3     5  1984     1528.000000
     4     5  1984     1530.000000
     5     5  1984     1535.000000
     6     5  1984     1538.000000
     7     5  1984     1538.000000
     8     5  1984     1540.000000
     9     5  1984     1542.000000
    10     5  1984     1544.000000
    11     5  1984     1548.000000
    12     5  1984     1550.000000
    13     5  1984     1552.000000
    14     5  1984     1554.000000
    15     5  1984     1556.000000
    16     5  1984     1559.000000
    17     5  1984     1563.000000
    18     5  1984     1566.000000
    19     5  1984     1568.000000
    20     5  1984     1573.000000
    21     5  1984     1576.000000
    22     5  1984     1577.000000
    23     5  1984     1580.000000
    24     5  1984     1584.000000
    25     5  1984     1588.000000
    26     5  1984     1589.000000
    27     5  1984     1591.000000
    28     5  1984     1593.000000
    29     5  1984     1595.000000
    30     5  1984     1596.000000
    31     5  1984     1598.000000
     1     6  1984     1598.000000
     2     6  1984     1598.000000
     3     6  1984     1600.000000
     4     6  1984     1602.000000
     5     6  1984     1606.000000
     6     6  1984     1606.000000
     7     6  1984     1609.000000
     8     6  1984     1610.000000
     9     6  1984     1610.000000
    10     6  1984     1612.000000
    11     6  1984     1614.000000
    12     6  1984     1614.000000
    13     6  1984     1616.000000
    14     6  1984     1616.000000
    15     6  1984     1616.000000
    16     6  1984     1616.000000
    17     6  1984     1616.000000
    18     6  1984     1616.000000
    19     6  1984     1616.000000
    20     6  1984     1614.000000
    21     6  1984     1614.000000
    22     6  1984     1614.000000
    23     6  1984     1612.000000
    24     6  1984     1610.000000
    25     6  1984     1609.000000
    26     6  1984     1609.000000
    27     6  1984     1608.000000
    28     6  1984     1607.000000
    29     6  1984     1604.000000
    30     6  1984     1602.000000
     1     7  1984    -9999.000000
     2     7  1984    -9999.000000
     3     7  1984    -9999.000000
     4     7  1984    -9999.000000
     5     7  1984    -9999.000000
     6     7  1984    -9999.000000
     7     7  1984    -9999.000000
     8     7  1984    -9999.000000
     9     7  1984    -9999.000000
    10     7  1984    -9999.000000
    11     7  1984    -9999.000000
    12     7  1984    -9999.000000
    13     7  1984    -9999.000000
    14     7  1984    -9999.000000
    15     7  1984    -9999.000000
    16     7  1984    -9999.000000
    17     7  1984    -9999.000000
    18     7  1984    -9999.000000
    19     7  1984    -9999.000000
    20     7  1984    -9999.000000
    21     7  1984    -9999.000000
    22     7  1984    -9999.000000
    23     7  1984    -9999.000000
    24     7  1984    -9999.000000
    25     7  1984    -9999.000000
    26     7  1984    -9999.000000
    27     7  1984    -9999.000000
    28     7  1984    -9999.000000
    29     7  1984    -9999.000000
    30     7  1984    -9999.000000
    31     7  1984    -9999.000000
     1     8  1984    -9999.000000
     2     8  1984    -9999.000000
     3     8  1984    -9999.000000
     4     8  1984    -9999.000000
     5     8  1984    -9999.000000
     6     8  1984    -9999.000000
     7     8  1984    -9999.000000
     8     8  1984    -9999.000000
     9     8  1984    -9999.000000
    10     8  1984    -9999.000000
    11     8  1984    -9999.000000
    12     8  1984    -9999.000000
    13     8  1984    -9999.000000
    14     8  1984    -9999.000000
    15     8  1984    -9999.000000
    16     8  1984    -9999.000000
    17     8  1984    -9999.000000
    18     8  1984    -9999.000000
    19     8  1984    -9999.000000
    20     8  1984    -9999.000000
    21     8  1984    -9999.000000
    22     8  1984    -9999.000000
    23     8  1984    -9999.000000
    24     8  1984    -9999.000000
