ASSISBRASIL	-69.550	-10.933
    28    10  1983      232.000000
    29    10  1983      231.000000
    30    10  1983      234.000000
    31    10  1983      233.000000
     1    11  1983      237.000000
     2    11  1983      272.000000
     3    11  1983      248.000000
     4    11  1983      251.000000
     5    11  1983      255.000000
     6    11  1983      251.000000
     7    11  1983      257.000000
     8    11  1983      279.000000
     9    11  1983      315.000000
    10    11  1983      275.000000
    11    11  1983      266.000000
    12    11  1983      257.000000
    13    11  1983      257.000000
    14    11  1983      411.000000
    15    11  1983      524.000000
    16    11  1983      358.000000
    17    11  1983      317.000000
    18    11  1983      288.000000
    19    11  1983      272.000000
    20    11  1983      270.000000
    21    11  1983      290.000000
    22    11  1983      304.000000
    23    11  1983      296.000000
    24    11  1983      324.000000
    25    11  1983      335.000000
    26    11  1983      322.000000
    27    11  1983      305.000000
    28    11  1983      289.000000
    29    11  1983      297.000000
    30    11  1983      287.000000
     1    12  1983      306.000000
     2    12  1983      321.000000
     3    12  1983      312.000000
     4    12  1983      315.000000
     5    12  1983      363.000000
     6    12  1983      367.000000
     7    12  1983      464.000000
     8    12  1983      457.000000
     9    12  1983      373.000000
    10    12  1983      310.000000
    11    12  1983      281.000000
    12    12  1983      264.000000
    13    12  1983      257.000000
    14    12  1983      254.000000
    15    12  1983      260.000000
    16    12  1983      267.000000
    17    12  1983      264.000000
    18    12  1983      276.000000
    19    12  1983      274.000000
    20    12  1983      281.000000
    21    12  1983      277.000000
    22    12  1983      260.000000
    23    12  1983      255.000000
    24    12  1983      251.000000
    25    12  1983      250.000000
    26    12  1983      250.000000
    27    12  1983      262.000000
    28    12  1983      268.000000
    29    12  1983      252.000000
    30    12  1983      256.000000
    31    12  1983      262.000000
     1     1  1984      380.000000
     2     1  1984      387.000000
     3     1  1984      333.000000
     4     1  1984      302.000000
     5     1  1984      339.000000
     6     1  1984      345.000000
     7     1  1984      526.000000
     8     1  1984      485.000000
     9     1  1984      417.000000
    10     1  1984      364.000000
    11     1  1984      381.000000
    12     1  1984      545.000000
    13     1  1984      564.000000
    14     1  1984      436.000000
    15     1  1984      407.000000
    16     1  1984      383.000000
    17     1  1984      425.000000
    18     1  1984      417.000000
    19     1  1984      375.000000
    20     1  1984      338.000000
    21     1  1984      335.000000
    22     1  1984      423.000000
    23     1  1984      384.000000
    24     1  1984      376.000000
    25     1  1984      348.000000
    26     1  1984      332.000000
    27     1  1984      322.000000
    28     1  1984      357.000000
    29     1  1984      470.000000
    30     1  1984      602.000000
    31     1  1984      561.000000
     1     2  1984      602.000000
     2     2  1984      598.000000
     3     2  1984      585.000000
     4     2  1984      469.000000
     5     2  1984      420.000000
     6     2  1984      502.000000
     7     2  1984      527.000000
     8     2  1984      447.000000
     9     2  1984      439.000000
    10     2  1984      593.000000
    11     2  1984      507.000000
    12     2  1984      469.000000
    13     2  1984      473.000000
    14     2  1984      427.000000
    15     2  1984      445.000000
    16     2  1984      540.000000
    17     2  1984      492.000000
    18     2  1984      494.000000
    19     2  1984      467.000000
    20     2  1984      441.000000
    21     2  1984      403.000000
    22     2  1984      388.000000
    23     2  1984      502.000000
    24     2  1984      479.000000
    25     2  1984      504.000000
    26     2  1984      457.000000
    27     2  1984      413.000000
    28     2  1984      367.000000
    29     2  1984      455.000000
     1     3  1984      412.000000
     2     3  1984      449.000000
     3     3  1984      386.000000
     4     3  1984      352.000000
     5     3  1984      328.000000
     6     3  1984      317.000000
     7     3  1984      334.000000
     8     3  1984      349.000000
     9     3  1984      317.000000
    10     3  1984      303.000000
    11     3  1984      537.000000
    12     3  1984      447.000000
    13     3  1984      465.000000
    14     3  1984      378.000000
    15     3  1984      342.000000
    16     3  1984      316.000000
    17     3  1984      331.000000
    18     3  1984      691.000000
    19     3  1984      610.000000
    20     3  1984      479.000000
    21     3  1984      733.000000
    22     3  1984      600.000000
    23     3  1984      538.000000
    24     3  1984      506.000000
    25     3  1984      444.000000
    26     3  1984      390.000000
    27     3  1984      448.000000
    28     3  1984      475.000000
    29     3  1984      403.000000
    30     3  1984      498.000000
    31     3  1984      415.000000
     1     4  1984      383.000000
     2     4  1984      390.000000
     3     4  1984      429.000000
     4     4  1984      700.000000
     5     4  1984     1026.000000
     6     4  1984      618.000000
     7     4  1984      544.000000
     8     4  1984      585.000000
     9     4  1984      602.000000
    10     4  1984      447.000000
    11     4  1984      386.000000
    12     4  1984      467.000000
    13     4  1984      459.000000
    14     4  1984      390.000000
    15     4  1984      381.000000
    16     4  1984      348.000000
    17     4  1984      321.000000
    18     4  1984      305.000000
    19     4  1984      299.000000
    20     4  1984      337.000000
    21     4  1984      524.000000
    22     4  1984      509.000000
    23     4  1984      436.000000
    24     4  1984      617.000000
    25     4  1984      717.000000
    26     4  1984      534.000000
    27     4  1984      460.000000
    28     4  1984      437.000000
    29     4  1984      399.000000
    30     4  1984      358.000000
     1     5  1984      326.000000
     2     5  1984      321.000000
     3     5  1984      316.000000
     4     5  1984      310.000000
     5     5  1984      304.000000
     6     5  1984      300.000000
     7     5  1984      290.000000
     8     5  1984      319.000000
     9     5  1984      331.000000
    10     5  1984      319.000000
    11     5  1984      307.000000
    12     5  1984      303.000000
    13     5  1984      292.000000
    14     5  1984      282.000000
    15     5  1984      286.000000
    16     5  1984      295.000000
    17     5  1984      291.000000
