PEDRASNEGRAS	-62.899	-12.851
     6     3  1984      672.000000
     7     3  1984      672.000000
     8     3  1984      672.000000
     9     3  1984      672.000000
    10     3  1984      677.000000
    11     3  1984      678.000000
    12     3  1984      678.000000
    13     3  1984      679.000000
    14     3  1984      679.000000
    15     3  1984      680.000000
    16     3  1984      680.000000
    17     3  1984      680.000000
    18     3  1984      681.000000
    19     3  1984      681.000000
    20     3  1984      682.000000
    21     3  1984      682.000000
    22     3  1984      682.000000
    23     3  1984      681.000000
    24     3  1984      682.000000
    25     3  1984      684.000000
    26     3  1984      684.000000
    27     3  1984      686.000000
    28     3  1984      687.000000
    29     3  1984      687.000000
    30     3  1984      688.000000
    31     3  1984      690.000000
     1     4  1984      692.000000
     2     4  1984      697.000000
     3     4  1984      697.000000
     4     4  1984      697.000000
     5     4  1984      697.000000
     6     4  1984      697.000000
     7     4  1984      698.000000
     8     4  1984      698.000000
     9     4  1984      698.000000
    10     4  1984      698.000000
    11     4  1984      698.000000
    12     4  1984      699.000000
    13     4  1984      699.000000
    14     4  1984      699.000000
    15     4  1984      700.000000
    16     4  1984      701.000000
    17     4  1984      701.000000
    18     4  1984      702.000000
    19     4  1984      703.000000
    20     4  1984      703.000000
    21     4  1984      703.000000
    22     4  1984      704.000000
    23     4  1984      703.000000
    24     4  1984      703.000000
    25     4  1984      702.000000
    26     4  1984      702.000000
    27     4  1984      701.000000
    28     4  1984      700.000000
    29     4  1984      700.000000
    30     4  1984      699.000000
     1     5  1984      698.000000
     2     5  1984      698.000000
     3     5  1984      697.000000
     4     5  1984      696.000000
     5     5  1984      696.000000
     6     5  1984      694.000000
     7     5  1984      692.000000
     8     5  1984      690.000000
     9     5  1984      688.000000
    10     5  1984      686.000000
    11     5  1984      684.000000
    12     5  1984      682.000000
    13     5  1984      680.000000
    14     5  1984      678.000000
    15     5  1984      676.000000
    16     5  1984      675.000000
    17     5  1984      674.000000
    18     5  1984      672.000000
    19     5  1984      670.000000
    20     5  1984      668.000000
    21     5  1984      666.000000
    22     5  1984      664.000000
    23     5  1984      662.000000
    24     5  1984      660.000000
    25     5  1984      658.000000
    26     5  1984      656.000000
    27     5  1984      654.000000
    28     5  1984      652.000000
    29     5  1984      649.000000
    30     5  1984      645.000000
    31     5  1984      643.000000
     1     6  1984      642.000000
     2     6  1984      640.000000
     3     6  1984      638.000000
     4     6  1984      636.000000
     5     6  1984      636.000000
     6     6  1984      634.000000
     7     6  1984      632.000000
     8     6  1984      630.000000
     9     6  1984      628.000000
    10     6  1984      626.000000
    11     6  1984      624.000000
    12     6  1984      622.000000
    13     6  1984      620.000000
    14     6  1984      618.000000
    15     6  1984      616.000000
    16     6  1984      614.000000
    17     6  1984      612.000000
    18     6  1984      610.000000
    19     6  1984      606.000000
    20     6  1984      604.000000
    21     6  1984      602.000000
    22     6  1984      598.000000
    23     6  1984      596.000000
    24     6  1984      592.000000
    25     6  1984      588.000000
    26     6  1984      586.000000
    27     6  1984      584.000000
    28     6  1984      582.000000
    29     6  1984      577.000000
    30     6  1984      572.000000
     1     7  1984      567.000000
     2     7  1984      564.000000
     3     7  1984      559.000000
     4     7  1984      555.000000
     5     7  1984      552.000000
     6     7  1984      550.000000
     7     7  1984      547.000000
     8     7  1984      542.000000
     9     7  1984      536.000000
    10     7  1984      530.000000
    11     7  1984      525.000000
    12     7  1984      520.000000
    13     7  1984      510.000000
    14     7  1984      502.000000
    15     7  1984      494.000000
    16     7  1984      486.000000
    17     7  1984      476.000000
    18     7  1984      468.000000
    19     7  1984      462.000000
    20     7  1984      456.000000
    21     7  1984      449.000000
    22     7  1984      442.000000
    23     7  1984      436.000000
    24     7  1984      428.000000
    25     7  1984      422.000000
    26     7  1984      416.000000
    27     7  1984      408.000000
    28     7  1984      400.000000
    29     7  1984      392.000000
    30     7  1984      386.000000
    31     7  1984      378.000000
     1     8  1984      370.000000
     2     8  1984      364.000000
     3     8  1984      361.000000
     4     8  1984      357.000000
     5     8  1984      352.000000
     6     8  1984      346.000000
     7     8  1984      339.000000
     8     8  1984      335.000000
     9     8  1984      330.000000
    10     8  1984      326.000000
    11     8  1984      322.000000
    12     8  1984      317.000000
    13     8  1984      313.000000
    14     8  1984      309.000000
    15     8  1984      306.000000
    16     8  1984      305.000000
    17     8  1984      304.000000
    18     8  1984      302.000000
    19     8  1984      300.000000
    20     8  1984      298.000000
    21     8  1984      296.000000
    22     8  1984      295.000000
    23     8  1984      294.000000
    24     8  1984      296.000000
    25     8  1984      298.000000
    26     8  1984      295.000000
    27     8  1984      292.000000
    28     8  1984      292.000000
    29     8  1984      293.000000
    30     8  1984      293.000000
    31     8  1984      294.000000
     1     9  1984      294.000000
     2     9  1984      295.000000
     3     9  1984      294.000000
     4     9  1984      293.000000
     5     9  1984      292.000000
     6     9  1984      291.000000
     7     9  1984      290.000000
     8     9  1984      288.000000
     9     9  1984      286.000000
    10     9  1984      284.000000
    11     9  1984      282.000000
    12     9  1984      280.000000
    13     9  1984      277.000000
    14     9  1984      274.000000
    15     9  1984      274.000000
    16     9  1984      272.000000
    17     9  1984      272.000000
    18     9  1984      270.000000
    19     9  1984      269.000000
    20     9  1984      268.000000
    21     9  1984      267.000000
    22     9  1984      266.000000
    23     9  1984      266.000000
    24     9  1984      266.000000
    25     9  1984      265.000000
    26     9  1984      264.000000
    27     9  1984      264.000000
    28     9  1984      263.000000
    29     9  1984      262.000000
    30     9  1984      260.000000
     1    10  1984      259.000000
     2    10  1984      258.000000
     3    10  1984      258.000000
     4    10  1984      257.000000
     5    10  1984      256.000000
     6    10  1984      254.000000
     7    10  1984      254.000000
     8    10  1984      253.000000
     9    10  1984      252.000000
    10    10  1984      252.000000
    11    10  1984      252.000000
    12    10  1984      251.000000
    13    10  1984      250.000000
    14    10  1984      249.000000
    15    10  1984      248.000000
    16    10  1984      246.000000
    17    10  1984      242.000000
    18    10  1984      243.000000
    19    10  1984      250.000000
    20    10  1984      248.000000
    21    10  1984      249.000000
    22    10  1984      250.000000
    23    10  1984      250.000000
    24    10  1984      251.000000
    25    10  1984      252.000000
    26    10  1984      252.000000
    27    10  1984      254.000000
    28    10  1984      256.000000
    29    10  1984      258.000000
    30    10  1984      262.000000
    31    10  1984      269.000000
     1    11  1984      270.000000
     2    11  1984      272.000000
     3    11  1984      274.000000
     4    11  1984      276.000000
     5    11  1984      280.000000
     6    11  1984      282.000000
     7    11  1984      287.000000
     8    11  1984      292.000000
     9    11  1984      293.000000
    10    11  1984      295.000000
    11    11  1984      298.000000
    12    11  1984      301.000000
    13    11  1984      304.000000
    14    11  1984      307.000000
    15    11  1984      313.000000
    16    11  1984      316.000000
    17    11  1984      322.000000
    18    11  1984      332.000000
    19    11  1984      342.000000
    20    11  1984      354.000000
    21    11  1984      358.000000
    22    11  1984      366.000000
    23    11  1984      371.000000
    24    11  1984      376.000000
    25    11  1984      380.000000
    26    11  1984      382.000000
    27    11  1984      385.000000
    28    11  1984      389.000000
    29    11  1984      394.000000
    30    11  1984      399.000000
     1    12  1984      406.000000
     2    12  1984      411.000000
     3    12  1984      415.000000
     4    12  1984      418.000000
     5    12  1984      422.000000
     6    12  1984      426.000000
     7    12  1984      429.000000
     8    12  1984      434.000000
     9    12  1984      438.000000
    10    12  1984      445.000000
    11    12  1984      449.000000
    12    12  1984      453.000000
    13    12  1984      457.000000
    14    12  1984      461.000000
    15    12  1984      465.000000
    16    12  1984      469.000000
    17    12  1984      476.000000
    18    12  1984      485.000000
    19    12  1984      492.000000
    20    12  1984      496.000000
    21    12  1984      508.000000
    22    12  1984      516.000000
    23    12  1984      522.000000
    24    12  1984      527.000000
    25    12  1984      532.000000
    26    12  1984      537.000000
    27    12  1984      543.000000
    28    12  1984      552.000000
    29    12  1984      556.000000
    30    12  1984      560.000000
    31    12  1984      563.000000
     1     1  1985      568.000000
     2     1  1985      571.000000
     3     1  1985      574.000000
     4     1  1985      578.000000
     5     1  1985      584.000000
     6     1  1985      591.000000
     7     1  1985      595.000000
     8     1  1985      599.000000
     9     1  1985      602.000000
    10     1  1985      604.000000
    11     1  1985      606.000000
    12     1  1985      608.000000
    13     1  1985      610.000000
    14     1  1985      614.000000
    15     1  1985      619.000000
    16     1  1985      623.000000
    17     1  1985      627.000000
    18     1  1985      632.000000
    19     1  1985      636.000000
    20     1  1985      639.000000
    21     1  1985      642.000000
    22     1  1985      646.000000
    23     1  1985      650.000000
    24     1  1985      652.000000
    25     1  1985      656.000000
    26     1  1985      660.000000
    27     1  1985      661.000000
    28     1  1985      662.000000
    29     1  1985      664.000000
    30     1  1985      664.000000
    31     1  1985      665.000000
     1     2  1985      665.000000
     2     2  1985      667.000000
     3     2  1985      668.000000
     4     2  1985      668.000000
     5     2  1985      669.000000
     6     2  1985      670.000000
     7     2  1985      670.000000
     8     2  1985      670.000000
     9     2  1985      671.000000
    10     2  1985      671.000000
    11     2  1985      672.000000
    12     2  1985      674.000000
    13     2  1985      674.000000
    14     2  1985      674.000000
    15     2  1985      675.000000
    16     2  1985      676.000000
    17     2  1985      676.000000
    18     2  1985      678.000000
    19     2  1985      678.000000
    20     2  1985      680.000000
    21     2  1985      682.000000
    22     2  1985      683.000000
    23     2  1985      684.000000
    24     2  1985      685.000000
    25     2  1985      686.000000
    26     2  1985      688.000000
    27     2  1985      691.000000
    28     2  1985      694.000000
     1     3  1985      696.000000
     2     3  1985      698.000000
     3     3  1985      699.000000
     4     3  1985      700.000000
     5     3  1985      700.000000
     6     3  1985      700.000000
     7     3  1985      700.000000
     8     3  1985      700.000000
     9     3  1985      701.000000
    10     3  1985      702.000000
    11     3  1985      703.000000
    12     3  1985      704.000000
    13     3  1985      705.000000
    14     3  1985      706.000000
    15     3  1985      708.000000
    16     3  1985      708.000000
    17     3  1985      709.000000
    18     3  1985      709.000000
    19     3  1985      709.000000
    20     3  1985      709.000000
    21     3  1985      710.000000
    22     3  1985      710.000000
    23     3  1985      710.000000
    24     3  1985      710.000000
    25     3  1985      710.000000
    26     3  1985      711.000000
    27     3  1985      711.000000
    28     3  1985      711.000000
    29     3  1985      711.000000
    30     3  1985      711.000000
    31     3  1985      711.000000
     1     4  1985      712.000000
     2     4  1985      712.000000
     3     4  1985      713.000000
     4     4  1985      714.000000
     5     4  1985      714.000000
     6     4  1985      713.000000
     7     4  1985      713.000000
     8     4  1985      713.000000
     9     4  1985      713.000000
    10     4  1985      713.000000
    11     4  1985      712.000000
    12     4  1985      712.000000
    13     4  1985      711.000000
    14     4  1985      710.000000
    15     4  1985      710.000000
    16     4  1985      708.000000
    17     4  1985      707.000000
    18     4  1985      706.000000
    19     4  1985      706.000000
    20     4  1985      705.000000
    21     4  1985      705.000000
    22     4  1985      705.000000
    23     4  1985      704.000000
    24     4  1985      704.000000
    25     4  1985      703.000000
    26     4  1985      703.000000
    27     4  1985      702.000000
    28     4  1985      702.000000
    29     4  1985      701.000000
    30     4  1985      701.000000
     1     5  1985      700.000000
     2     5  1985      700.000000
     3     5  1985      699.000000
     4     5  1985      698.000000
     5     5  1985      698.000000
     6     5  1985      697.000000
     7     5  1985      696.000000
     8     5  1985      696.000000
     9     5  1985      696.000000
    10     5  1985      695.000000
    11     5  1985      694.000000
    12     5  1985      694.000000
    13     5  1985      693.000000
    14     5  1985      692.000000
    15     5  1985      692.000000
    16     5  1985      690.000000
    17     5  1985      688.000000
    18     5  1985      686.000000
    19     5  1985      686.000000
    20     5  1985      684.000000
    21     5  1985      682.000000
    22     5  1985      681.000000
    23     5  1985      680.000000
    24     5  1985      679.000000
    25     5  1985      678.000000
    26     5  1985      677.000000
    27     5  1985      676.000000
    28     5  1985      674.000000
    29     5  1985      672.000000
    30     5  1985      670.000000
    31     5  1985      669.000000
     1     6  1985      668.000000
     2     6  1985      666.000000
     3     6  1985      663.000000
     4     6  1985      660.000000
     5     6  1985      658.000000
     6     6  1985      656.000000
     7     6  1985      654.000000
     8     6  1985      652.000000
     9     6  1985      650.000000
    10     6  1985      647.000000
    11     6  1985      644.000000
    12     6  1985      642.000000
    13     6  1985      640.000000
    14     6  1985      638.000000
    15     6  1985      636.000000
    16     6  1985      634.000000
    17     6  1985      628.000000
    18     6  1985      624.000000
    19     6  1985      622.000000
    20     6  1985      620.000000
    21     6  1985      618.000000
    22     6  1985      616.000000
    23     6  1985      612.000000
    24     6  1985      608.000000
    25     6  1985      604.000000
    26     6  1985      601.000000
    27     6  1985      598.000000
    28     6  1985      593.000000
    29     6  1985      589.000000
    30     6  1985      584.000000
     1     7  1985      581.000000
     2     7  1985      577.000000
     3     7  1985      574.000000
     4     7  1985      570.000000
     5     7  1985      566.000000
     6     7  1985      562.000000
     7     7  1985      560.000000
     8     7  1985      555.000000
     9     7  1985      549.000000
    10     7  1985      543.000000
    11     7  1985      537.000000
    12     7  1985      530.000000
    13     7  1985      525.000000
    14     7  1985      520.000000
    15     7  1985      516.000000
    16     7  1985      512.000000
    17     7  1985      508.000000
    18     7  1985      503.000000
    19     7  1985      499.000000
    20     7  1985      495.000000
    21     7  1985      491.000000
    22     7  1985      485.000000
    23     7  1985      480.000000
    24     7  1985      472.000000
    25     7  1985      466.000000
    26     7  1985      458.000000
    27     7  1985      452.000000
    28     7  1985      442.000000
    29     7  1985      432.000000
    30     7  1985      422.000000
    31     7  1985      417.000000
     1     8  1985      412.000000
     2     8  1985      406.000000
     3     8  1985      401.000000
     4     8  1985      397.000000
     5     8  1985      392.000000
     6     8  1985      386.000000
     7     8  1985      382.000000
     8     8  1985      377.000000
     9     8  1985      375.000000
    10     8  1985      368.000000
    11     8  1985      364.000000
    12     8  1985      362.000000
    13     8  1985      359.000000
    14     8  1985      356.000000
    15     8  1985      351.000000
    16     8  1985      347.000000
    17     8  1985      346.000000
    18     8  1985      344.000000
    19     8  1985      342.000000
    20     8  1985      340.000000
    21     8  1985      338.000000
    22     8  1985      336.000000
    23     8  1985      334.000000
    24     8  1985      332.000000
    25     8  1985      330.000000
