FAZENDAPASSARÃO	-60.571	3.208
    25    11  1983      540.000000
    26    11  1983      538.000000
    27    11  1983      532.000000
    28    11  1983      535.000000
    29    11  1983      528.000000
    30    11  1983      526.000000
     1    12  1983      524.000000
     2    12  1983      523.000000
     3    12  1983      523.000000
     4    12  1983      522.000000
     5    12  1983      520.000000
     6    12  1983      518.000000
     7    12  1983      520.000000
     8    12  1983      537.000000
     9    12  1983      540.000000
    10    12  1983      540.000000
    11    12  1983      539.000000
    12    12  1983      539.000000
    13    12  1983      549.000000
    14    12  1983      559.000000
    15    12  1983      585.000000
    16    12  1983      600.000000
    17    12  1983      648.000000
    18    12  1983      639.000000
    19    12  1983      614.000000
    20    12  1983      601.000000
    21    12  1983      605.000000
    22    12  1983      619.000000
    23    12  1983      614.000000
    24    12  1983      612.000000
    25    12  1983      606.000000
    26    12  1983      606.000000
    27    12  1983      588.000000
    28    12  1983      571.000000
    29    12  1983      557.000000
    30    12  1983      551.000000
    31    12  1983      548.000000
     1     1  1984      557.000000
     2     1  1984      567.000000
     3     1  1984      578.000000
     4     1  1984      582.000000
     5     1  1984      578.000000
     6     1  1984      571.000000
     7     1  1984      568.000000
     8     1  1984      577.000000
     9     1  1984      598.000000
    10     1  1984      613.000000
    11     1  1984      612.000000
    12     1  1984      600.000000
    13     1  1984      588.000000
    14     1  1984      576.000000
    15     1  1984      566.000000
    16     1  1984      558.000000
    17     1  1984      550.000000
    18     1  1984      550.000000
    19     1  1984      546.000000
    20     1  1984      546.000000
    21     1  1984      548.000000
    22     1  1984      557.000000
    23     1  1984      583.000000
    24     1  1984      630.000000
    25     1  1984      673.000000
    26     1  1984      695.000000
    27     1  1984      708.000000
    28     1  1984      718.000000
    29     1  1984      721.000000
    30     1  1984      716.000000
    31     1  1984      705.000000
     1     2  1984      698.000000
     2     2  1984      689.000000
     3     2  1984      716.000000
     4     2  1984      725.000000
     5     2  1984      728.000000
     6     2  1984      732.000000
     7     2  1984      724.000000
     8     2  1984      712.000000
     9     2  1984      667.000000
    10     2  1984      653.000000
    11     2  1984      648.000000
    12     2  1984      613.000000
    13     2  1984      618.000000
    14     2  1984      615.000000
    15     2  1984      612.000000
    16     2  1984      612.000000
    17     2  1984      615.000000
    18     2  1984      616.000000
    19     2  1984      617.000000
    20     2  1984      621.000000
    21     2  1984      622.000000
    22     2  1984      618.000000
    23     2  1984      613.000000
    24     2  1984      639.000000
    25     2  1984      664.000000
    26     2  1984      666.000000
    27     2  1984      667.000000
    28     2  1984      669.000000
    29     2  1984      670.000000
     1     3  1984      662.000000
     2     3  1984      628.000000
     3     3  1984      611.000000
     4     3  1984      606.000000
     5     3  1984      605.000000
     6     3  1984      597.000000
     7     3  1984      575.000000
     8     3  1984      569.000000
     9     3  1984      570.000000
    10     3  1984      570.000000
    11     3  1984      570.000000
    12     3  1984      568.000000
    13     3  1984      561.000000
    14     3  1984      554.000000
    15     3  1984      547.000000
    16     3  1984      544.000000
    17     3  1984      534.000000
    18     3  1984      532.000000
    19     3  1984      533.000000
    20     3  1984      535.000000
    21     3  1984      535.000000
    22     3  1984      536.000000
    23     3  1984      535.000000
    24     3  1984      534.000000
    25     3  1984      536.000000
    26     3  1984      543.000000
    27     3  1984      546.000000
    28     3  1984      548.000000
    29     3  1984      552.000000
    30     3  1984      558.000000
