TABATINGA	-69.933	-4.250
    11    11  1983      702.000000
    12    11  1983      716.000000
    13    11  1983      726.000000
    14    11  1983      730.000000
    15    11  1983      730.000000
    16    11  1983      730.000000
    17    11  1983      730.000000
    18    11  1983      728.000000
    19    11  1983      724.000000
    20    11  1983      718.000000
    21    11  1983      710.000000
    22    11  1983      700.000000
    23    11  1983      690.000000
    24    11  1983      679.000000
    25    11  1983      666.000000
    26    11  1983      658.000000
    27    11  1983      658.000000
    28    11  1983      658.000000
    29    11  1983      658.000000
    30    11  1983      661.000000
     1    12  1983      674.000000
     2    12  1983      701.000000
     3    12  1983      732.000000
     4    12  1983      760.000000
     5    12  1983      790.000000
     6    12  1983      807.000000
     7    12  1983      816.000000
     8    12  1983      824.000000
     9    12  1983      832.000000
    10    12  1983      843.000000
    11    12  1983      858.000000
    12    12  1983      873.000000
    13    12  1983      882.000000
    14    12  1983      892.000000
    15    12  1983      904.000000
    16    12  1983      914.000000
    17    12  1983      919.000000
    18    12  1983      926.000000
    19    12  1983      934.000000
    20    12  1983      934.000000
    21    12  1983      928.000000
    22    12  1983      919.000000
    23    12  1983      910.000000
    24    12  1983      901.000000
    25    12  1983      895.000000
    26    12  1983      891.000000
    27    12  1983      888.000000
    28    12  1983      886.000000
    29    12  1983      884.000000
    30    12  1983      886.000000
    31    12  1983      888.000000
     1     1  1984      888.000000
     2     1  1984      888.000000
     3     1  1984      888.000000
     4     1  1984      891.000000
     5     1  1984      894.000000
     6     1  1984      894.000000
     7     1  1984      892.000000
     8     1  1984      887.000000
     9     1  1984      878.000000
    10     1  1984      869.000000
    11     1  1984      856.000000
    12     1  1984      840.000000
    13     1  1984      824.000000
    14     1  1984      808.000000
    15     1  1984      796.000000
    16     1  1984      787.000000
    17     1  1984      785.000000
    18     1  1984      792.000000
    19     1  1984      797.000000
    20     1  1984      798.000000
    21     1  1984      796.000000
    22     1  1984      798.000000
    23     1  1984      811.000000
    24     1  1984      815.000000
    25     1  1984      816.000000
    26     1  1984      816.000000
    27     1  1984      814.000000
    28     1  1984      814.000000
    29     1  1984      814.000000
    30     1  1984      812.000000
    31     1  1984      810.000000
     1     2  1984      808.000000
     2     2  1984      814.000000
     3     2  1984      834.000000
     4     2  1984      848.000000
     5     2  1984      863.000000
     6     2  1984      874.000000
     7     2  1984      890.000000
     8     2  1984      908.000000
     9     2  1984      926.000000
    10     2  1984      942.000000
    11     2  1984      957.000000
    12     2  1984      972.000000
    13     2  1984      983.000000
    14     2  1984      993.000000
    15     2  1984     1002.000000
    16     2  1984     1015.000000
    17     2  1984     1026.000000
    18     2  1984     1034.000000
    19     2  1984     1042.000000
    20     2  1984     1049.000000
    21     2  1984     1058.000000
    22     2  1984     1066.000000
    23     2  1984     1074.000000
    24     2  1984     1084.000000
    25     2  1984     1091.000000
    26     2  1984     1097.000000
    27     2  1984     1103.000000
    28     2  1984     1109.000000
    29     2  1984     1115.000000
     1     3  1984     1120.000000
     2     3  1984     1123.000000
     3     3  1984     1129.000000
     4     3  1984     1135.000000
     5     3  1984     1139.000000
     6     3  1984     1144.000000
     7     3  1984     1147.000000
     8     3  1984     1150.000000
     9     3  1984     1152.000000
    10     3  1984     1157.000000
    11     3  1984     1161.000000
    12     3  1984     1164.000000
    13     3  1984     1166.000000
    14     3  1984     1166.000000
    15     3  1984     1166.000000
    16     3  1984     1166.000000
    17     3  1984     1167.000000
    18     3  1984     1170.000000
    19     3  1984     1172.000000
    20     3  1984     1172.000000
    21     3  1984     1172.000000
    22     3  1984     1172.000000
    23     3  1984     1172.000000
    24     3  1984     1172.000000
    25     3  1984     1172.000000
    26     3  1984     1170.000000
    27     3  1984     1168.000000
    28     3  1984     1166.000000
    29     3  1984     1167.000000
    30     3  1984     1169.000000
    31     3  1984     1169.000000
     1     4  1984     1169.000000
     2     4  1984     1169.000000
     3     4  1984     1168.000000
     4     4  1984     1166.000000
     5     4  1984     1164.000000
     6     4  1984     1164.000000
     7     4  1984     1164.000000
     8     4  1984     1164.000000
     9     4  1984     1166.000000
    10     4  1984     1168.000000
    11     4  1984     1172.000000
    12     4  1984     1177.000000
    13     4  1984     1181.000000
    14     4  1984     1185.000000
    15     4  1984     1189.000000
    16     4  1984     1192.000000
    17     4  1984     1196.000000
    18     4  1984     1198.000000
    19     4  1984     1202.000000
    20     4  1984     1204.000000
    21     4  1984     1212.000000
    22     4  1984     1216.000000
    23     4  1984     1216.000000
    24     4  1984     1220.000000
    25     4  1984     1222.000000
    26     4  1984     1228.000000
    27     4  1984     1232.000000
    28     4  1984     1234.000000
    29     4  1984     1236.000000
    30     4  1984     1238.000000
     1     5  1984     1240.000000
     2     5  1984     1240.000000
     3     5  1984     1240.000000
     4     5  1984     1240.000000
     5     5  1984     1242.000000
     6     5  1984     1242.000000
     7     5  1984     1243.000000
     8     5  1984     1244.000000
     9     5  1984     1244.000000
    10     5  1984     1242.000000
    11     5  1984     1242.000000
    12     5  1984     1242.000000
    13     5  1984     1240.000000
    14     5  1984     1238.000000
    15     5  1984     1238.000000
    16     5  1984     1236.000000
    17     5  1984     1235.000000
    18     5  1984     1232.000000
    19     5  1984     1231.000000
    20     5  1984     1230.000000
    21     5  1984     1228.000000
    22     5  1984     1228.000000
    23     5  1984     1223.000000
    24     5  1984     1219.000000
    25     5  1984     1215.000000
    26     5  1984     1212.000000
    27     5  1984     1208.000000
    28     5  1984     1203.000000
    29     5  1984     1199.000000
    30     5  1984     1195.000000
    31     5  1984     1192.000000
     1     6  1984     1189.000000
     2     6  1984     1186.000000
     3     6  1984     1181.000000
     4     6  1984     1178.000000
     5     6  1984     1173.000000
     6     6  1984     1166.000000
     7     6  1984     1159.000000
     8     6  1984     1152.000000
     9     6  1984     1144.000000
    10     6  1984     1134.000000
    11     6  1984     1126.000000
    12     6  1984     1116.000000
    13     6  1984     1109.000000
    14     6  1984     1099.000000
    15     6  1984     1089.000000
    16     6  1984     1080.000000
    17     6  1984     1072.000000
    18     6  1984     1062.000000
    19     6  1984     1055.000000
    20     6  1984     1049.000000
    21     6  1984     1040.000000
    22     6  1984     1035.000000
    23     6  1984     1029.000000
    24     6  1984     1024.000000
    25     6  1984     1020.000000
    26     6  1984     1017.000000
    27     6  1984     1013.000000
    28     6  1984     1008.000000
    29     6  1984     1003.000000
    30     6  1984     1000.000000
