ENVIRA	-70.023	-7.428
    10     2  1985      812.000000
    11     2  1985      882.000000
    12     2  1985      946.000000
    13     2  1985      988.000000
    14     2  1985     1032.000000
    15     2  1985     1024.000000
    16     2  1985      973.000000
    17     2  1985      904.000000
    18     2  1985      828.000000
    19     2  1985      800.000000
    20     2  1985      825.000000
    21     2  1985      826.000000
    22     2  1985      810.000000
    23     2  1985      834.000000
    24     2  1985      911.000000
    25     2  1985      958.000000
    26     2  1985      898.000000
    27     2  1985      824.000000
    28     2  1985      820.000000
     1     3  1985      870.000000
     2     3  1985      894.000000
     3     3  1985      890.000000
     4     3  1985      882.000000
     5     3  1985      883.000000
     6     3  1985      894.000000
     7     3  1985      940.000000
     8     3  1985      987.000000
     9     3  1985     1055.000000
    10     3  1985     1129.000000
    11     3  1985     1159.000000
    12     3  1985     1177.000000
    13     3  1985     1173.000000
    14     3  1985     1097.000000
    15     3  1985      995.000000
    16     3  1985     1032.000000
    17     3  1985     1108.000000
    18     3  1985     1142.000000
    19     3  1985     1146.000000
    20     3  1985     1104.000000
    21     3  1985     1077.000000
    22     3  1985     1069.000000
    23     3  1985     1097.000000
    24     3  1985     1116.000000
    25     3  1985     1040.000000
    26     3  1985      932.000000
    27     3  1985      851.000000
    28     3  1985      812.000000
    29     3  1985      776.000000
    30     3  1985      756.000000
    31     3  1985      772.000000
     1     4  1985      792.000000
     2     4  1985      859.000000
     3     4  1985      950.000000
     4     4  1985     1022.000000
     5     4  1985     1038.000000
     6     4  1985     1024.000000
     7     4  1985     1042.000000
     8     4  1985     1073.000000
     9     4  1985     1103.000000
    10     4  1985     1122.000000
    11     4  1985     1133.000000
    12     4  1985     1113.000000
    13     4  1985     1070.000000
    14     4  1985     1016.000000
    15     4  1985      996.000000
    16     4  1985      969.000000
    17     4  1985      921.000000
    18     4  1985      883.000000
    19     4  1985      820.000000
    20     4  1985      774.000000
    21     4  1985      812.000000
    22     4  1985      916.000000
    23     4  1985      963.000000
    24     4  1985      980.000000
    25     4  1985     1016.000000
    26     4  1985     1070.000000
    27     4  1985     1088.000000
    28     4  1985     1074.000000
    29     4  1985     1060.000000
    30     4  1985     1044.000000
     1     5  1985     1020.000000
     2     5  1985      919.000000
     3     5  1985      824.000000
     4     5  1985      796.000000
     5     5  1985      809.000000
     6     5  1985      767.000000
     7     5  1985      691.000000
     8     5  1985      630.000000
     9     5  1985      591.000000
    10     5  1985      584.000000
    11     5  1985      690.000000
    12     5  1985      724.000000
    13     5  1985      730.000000
    14     5  1985      765.000000
    15     5  1985      788.000000
    16     5  1985      820.000000
    17     5  1985      822.000000
    18     5  1985      804.000000
    19     5  1985      782.000000
    20     5  1985      756.000000
    21     5  1985      741.000000
    22     5  1985      710.000000
    23     5  1985      655.000000
    24     5  1985      610.000000
    25     5  1985      580.000000
    26     5  1985      584.000000
    27     5  1985      607.000000
    28     5  1985      664.000000
    29     5  1985      655.000000
    30     5  1985      638.000000
    31     5  1985      644.000000
     1     6  1985      622.000000
     2     6  1985      613.000000
     3     6  1985      590.000000
     4     6  1985      549.000000
     5     6  1985      517.000000
     6     6  1985      502.000000
     7     6  1985      488.000000
     8     6  1985      469.000000
     9     6  1985      449.000000
    10     6  1985      434.000000
    11     6  1985      424.000000
    12     6  1985      412.000000
    13     6  1985      398.000000
    14     6  1985      386.000000
    15     6  1985      371.000000
    16     6  1985      360.000000
    17     6  1985      352.000000
    18     6  1985      346.000000
    19     6  1985      341.000000
    20     6  1985      336.000000
    21     6  1985      331.000000
    22     6  1985      332.000000
    23     6  1985      342.000000
    24     6  1985      349.000000
    25     6  1985      338.000000
    26     6  1985      330.000000
    27     6  1985      326.000000
    28     6  1985      324.000000
    29     6  1985      324.000000
    30     6  1985      322.000000
     1     7  1985      323.000000
     2     7  1985      324.000000
     3     7  1985      318.000000
     4     7  1985      314.000000
     5     7  1985      340.000000
     6     7  1985      348.000000
     7     7  1985      335.000000
     8     7  1985      325.000000
     9     7  1985      312.000000
    10     7  1985      306.000000
    11     7  1985      304.000000
    12     7  1985      314.000000
    13     7  1985      336.000000
    14     7  1985      335.000000
    15     7  1985      328.000000
    16     7  1985      315.000000
    17     7  1985      301.000000
    18     7  1985      288.000000
    19     7  1985      279.000000
    20     7  1985      275.000000
    21     7  1985      274.000000
    22     7  1985      271.000000
    23     7  1985      268.000000
    24     7  1985      265.000000
    25     7  1985      262.000000
    26     7  1985      256.000000
    27     7  1985      252.000000
    28     7  1985      250.000000
    29     7  1985      250.000000
    30     7  1985      254.000000
    31     7  1985      258.000000
     1     8  1985      262.000000
     2     8  1985      258.000000
     3     8  1985      262.000000
     4     8  1985      270.000000
     5     8  1985      272.000000
     6     8  1985      274.000000
     7     8  1985      270.000000
     8     8  1985      269.000000
     9     8  1985      276.000000
    10     8  1985      272.000000
    11     8  1985      266.000000
    12     8  1985      266.000000
    13     8  1985      264.000000
    14     8  1985      257.000000
    15     8  1985      256.000000
    16     8  1985      254.000000
    17     8  1985      250.000000
    18     8  1985      243.000000
    19     8  1985      239.000000
    20     8  1985      238.000000
    21     8  1985      252.000000
    22     8  1985      265.000000
    23     8  1985      278.000000
    24     8  1985      286.000000
    25     8  1985      281.000000
    26     8  1985      267.000000
    27     8  1985      258.000000
    28     8  1985      271.000000
    29     8  1985      332.000000
    30     8  1985      340.000000
    31     8  1985      315.000000
     1     9  1985      288.000000
     2     9  1985      290.000000
     3     9  1985      302.000000
     4     9  1985      292.000000
     5     9  1985      277.000000
     6     9  1985      262.000000
     7     9  1985      248.000000
     8     9  1985      244.000000
     9     9  1985      245.000000
    10     9  1985      246.000000
    11     9  1985      242.000000
    12     9  1985      236.000000
    13     9  1985      232.000000
    14     9  1985      226.000000
    15     9  1985      230.000000
    16     9  1985      264.000000
    17     9  1985      270.000000
    18     9  1985      258.000000
    19     9  1985      260.000000
    20     9  1985      286.000000
    21     9  1985      323.000000
    22     9  1985      364.000000
    23     9  1985      382.000000
    24     9  1985      407.000000
    25     9  1985      426.000000
    26     9  1985      466.000000
    27     9  1985      452.000000
    28     9  1985      416.000000
    29     9  1985      396.000000
    30     9  1985      382.000000
     1    10  1985      378.000000
     2    10  1985      366.000000
     3    10  1985      337.000000
     4    10  1985      315.000000
     5    10  1985      321.000000
     6    10  1985      366.000000
     7    10  1985      430.000000
     8    10  1985      523.000000
     9    10  1985      550.000000
    10    10  1985      627.000000
    11    10  1985      624.000000
    12    10  1985      566.000000
    13    10  1985      519.000000
    14    10  1985      491.000000
    15    10  1985      486.000000
    16    10  1985      497.000000
    17    10  1985      504.000000
    18    10  1985      494.000000
    19    10  1985      530.000000
    20    10  1985      608.000000
    21    10  1985      604.000000
    22    10  1985      610.000000
    23    10  1985      640.000000
    24    10  1985      608.000000
    25    10  1985      582.000000
    26    10  1985      542.000000
    27    10  1985      532.000000
    28    10  1985      584.000000
    29    10  1985      644.000000
    30    10  1985      619.000000
    31    10  1985      582.000000
     1    11  1985      558.000000
     2    11  1985      530.000000
     3    11  1985      529.000000
     4    11  1985      588.000000
     5    11  1985      630.000000
     6    11  1985      679.000000
     7    11  1985      702.000000
     8    11  1985      680.000000
     9    11  1985      660.000000
    10    11  1985      661.000000
    11    11  1985      630.000000
    12    11  1985      614.000000
    13    11  1985      664.000000
    14    11  1985      835.000000
    15    11  1985      950.000000
    16    11  1985     1063.000000
    17    11  1985     1112.000000
    18    11  1985     1108.000000
    19    11  1985     1056.000000
    20    11  1985     1000.000000
