XAPURI	-68.507	-10.650
     9     2  1984      969.000000
    10     2  1984      946.000000
    11     2  1984      876.000000
    12     2  1984      852.000000
    13     2  1984      828.000000
    14     2  1984      826.000000
    15     2  1984      826.000000
    16     2  1984      828.000000
    17     2  1984      904.000000
    18     2  1984     1022.000000
    19     2  1984     1076.000000
    20     2  1984     1084.000000
    21     2  1984      856.000000
    22     2  1984      803.000000
    23     2  1984      781.000000
    24     2  1984      794.000000
    25     2  1984      810.000000
    26     2  1984      815.000000
    27     2  1984      818.000000
    28     2  1984      858.000000
    29     2  1984      893.000000
     1     3  1984      898.000000
     2     3  1984      889.000000
     3     3  1984      886.000000
     4     3  1984      849.000000
     5     3  1984      841.000000
     6     3  1984      832.000000
     7     3  1984      824.000000
     8     3  1984      810.000000
     9     3  1984      949.000000
    10     3  1984      986.000000
    11     3  1984      971.000000
    12     3  1984      959.000000
    13     3  1984      939.000000
    14     3  1984      923.000000
    15     3  1984      935.000000
    16     3  1984      946.000000
    17     3  1984      960.000000
    18     3  1984      971.000000
    19     3  1984      984.000000
    20     3  1984      993.000000
    21     3  1984      999.000000
    22     3  1984     1009.000000
    23     3  1984     1024.000000
    24     3  1984     1039.000000
    25     3  1984     1047.000000
    26     3  1984     1034.000000
    27     3  1984     1021.000000
    28     3  1984     1001.000000
    29     3  1984      989.000000
    30     3  1984      972.000000
    31     3  1984      949.000000
     1     4  1984      932.000000
     2     4  1984      915.000000
     3     4  1984      942.000000
     4     4  1984      960.000000
     5     4  1984     1018.000000
     6     4  1984     1118.000000
     7     4  1984     1263.000000
     8     4  1984     1408.000000
     9     4  1984     1421.000000
    10     4  1984     1344.000000
    11     4  1984     1178.000000
    12     4  1984      937.000000
    13     4  1984      855.000000
    14     4  1984      839.000000
    15     4  1984      819.000000
    16     4  1984      807.000000
    17     4  1984      830.000000
    18     4  1984      844.000000
    19     4  1984      865.000000
    20     4  1984      884.000000
    21     4  1984      914.000000
    22     4  1984      962.000000
    23     4  1984      974.000000
    24     4  1984      974.000000
    25     4  1984      963.000000
    26     4  1984      928.000000
    27     4  1984      880.000000
    28     4  1984      828.000000
    29     4  1984      750.000000
    30     4  1984      713.000000
     1     5  1984      694.000000
     2     5  1984      672.000000
     3     5  1984      644.000000
     4     5  1984      614.000000
     5     5  1984      589.000000
     6     5  1984      560.000000
     7     5  1984      537.000000
     8     5  1984      512.000000
     9     5  1984      496.000000
    10     5  1984      485.000000
    11     5  1984      476.000000
    12     5  1984      464.000000
    13     5  1984      456.000000
    14     5  1984      447.000000
    15     5  1984      442.000000
    16     5  1984      437.000000
    17     5  1984      432.000000
    18     5  1984      430.000000
    19     5  1984      426.000000
    20     5  1984      424.000000
    21     5  1984      422.000000
    22     5  1984      420.000000
    23     5  1984      418.000000
    24     5  1984      416.000000
    25     5  1984      412.000000
    26     5  1984      410.000000
    27     5  1984      406.000000
    28     5  1984      402.000000
    29     5  1984      396.000000
    30     5  1984      390.000000
    31     5  1984      386.000000
     1     6  1984      382.000000
     2     6  1984      380.000000
     3     6  1984      378.000000
     4     6  1984      378.000000
     5     6  1984      376.000000
     6     6  1984      374.000000
     7     6  1984      374.000000
     8     6  1984      374.000000
     9     6  1984      372.000000
    10     6  1984      370.000000
    11     6  1984      368.000000
    12     6  1984      364.000000
    13     6  1984      362.000000
    14     6  1984      360.000000
    15     6  1984      358.000000
    16     6  1984      358.000000
    17     6  1984      356.000000
    18     6  1984      355.000000
    19     6  1984      355.000000
    20     6  1984      354.000000
    21     6  1984      352.000000
    22     6  1984      351.000000
    23     6  1984      350.000000
    24     6  1984      348.000000
    25     6  1984      346.000000
    26     6  1984      344.000000
    27     6  1984      342.000000
    28     6  1984      340.000000
    29     6  1984      338.000000
    30     6  1984      336.000000
     1     7  1984      334.000000
     2     7  1984      332.000000
     3     7  1984      330.000000
     4     7  1984      328.000000
     5     7  1984      326.000000
     6     7  1984      326.000000
     7     7  1984      326.000000
