BARCELOS	-62.931	-0.966
    28    12  1983      414.000000
    29    12  1983      411.000000
    30    12  1983      409.000000
    31    12  1983      408.000000
     1     1  1984      406.000000
     2     1  1984      406.000000
     3     1  1984      407.000000
     4     1  1984      409.000000
     5     1  1984      413.000000
     6     1  1984      417.000000
     7     1  1984      418.000000
     8     1  1984      419.000000
     9     1  1984      423.000000
    10     1  1984      424.000000
    11     1  1984      422.000000
    12     1  1984      416.000000
    13     1  1984      414.000000
    14     1  1984      412.000000
    15     1  1984      410.000000
    16     1  1984      408.000000
    17     1  1984      404.000000
    18     1  1984      402.000000
    19     1  1984      400.000000
    20     1  1984      395.000000
    21     1  1984      387.000000
    22     1  1984      382.000000
    23     1  1984      378.000000
    24     1  1984      374.000000
    25     1  1984      372.000000
    26     1  1984      371.000000
    27     1  1984      374.000000
    28     1  1984      380.000000
    29     1  1984      386.000000
    30     1  1984      395.000000
    31     1  1984      402.000000
     1     2  1984      411.000000
     2     2  1984      419.000000
     3     2  1984      425.000000
     4     2  1984      431.000000
     5     2  1984      435.000000
     6     2  1984      439.000000
     7     2  1984      442.000000
     8     2  1984      445.000000
     9     2  1984      447.000000
    10     2  1984      449.000000
    11     2  1984      449.000000
    12     2  1984      450.000000
    13     2  1984      451.000000
    14     2  1984      452.000000
    15     2  1984      454.000000
    16     2  1984      455.000000
    17     2  1984      456.000000
    18     2  1984      456.000000
    19     2  1984      457.000000
    20     2  1984      457.000000
    21     2  1984      457.000000
    22     2  1984      459.000000
    23     2  1984      460.000000
    24     2  1984      459.000000
    25     2  1984      460.000000
    26     2  1984      461.000000
    27     2  1984      463.000000
    28     2  1984      464.000000
    29     2  1984      467.000000
     1     3  1984      472.000000
     2     3  1984      478.000000
     3     3  1984      482.000000
     4     3  1984      486.000000
     5     3  1984      490.000000
     6     3  1984      493.000000
     7     3  1984      495.000000
     8     3  1984      497.000000
     9     3  1984      498.000000
    10     3  1984      499.000000
    11     3  1984      500.000000
    12     3  1984      500.000000
    13     3  1984      501.000000
    14     3  1984      501.000000
    15     3  1984      502.000000
    16     3  1984      502.000000
    17     3  1984      502.000000
    18     3  1984      501.000000
    19     3  1984      497.000000
    20     3  1984      496.000000
    21     3  1984      494.000000
    22     3  1984      494.000000
    23     3  1984      485.000000
    24     3  1984      483.000000
    25     3  1984      481.000000
    26     3  1984      475.000000
    27     3  1984      467.000000
    28     3  1984      465.000000
    29     3  1984      458.000000
    30     3  1984      453.000000
    31     3  1984      448.000000
     1     4  1984      446.000000
     2     4  1984      442.000000
     3     4  1984      437.000000
     4     4  1984      430.000000
     5     4  1984      424.000000
     6     4  1984      420.000000
     7     4  1984      418.000000
     8     4  1984      416.000000
     9     4  1984      413.000000
    10     4  1984      410.000000
    11     4  1984      408.000000
    12     4  1984      408.000000
    13     4  1984      410.000000
    14     4  1984      413.000000
    15     4  1984      416.000000
    16     4  1984      420.000000
    17     4  1984      424.000000
    18     4  1984      428.000000
    19     4  1984      433.000000
    20     4  1984      435.000000
    21     4  1984      439.000000
    22     4  1984      442.000000
    23     4  1984      446.000000
    24     4  1984      450.000000
    25     4  1984      453.000000
    26     4  1984      455.000000
    27     4  1984      457.000000
    28     4  1984      461.000000
    29     4  1984      466.000000
    30     4  1984      470.000000
     1     5  1984      473.000000
     2     5  1984      476.000000
     3     5  1984      479.000000
     4     5  1984      491.000000
     5     5  1984      503.000000
     6     5  1984      512.000000
     7     5  1984      522.000000
     8     5  1984      531.000000
     9     5  1984      540.000000
    10     5  1984      549.000000
    11     5  1984      556.000000
    12     5  1984      570.000000
    13     5  1984      573.000000
    14     5  1984      583.000000
    15     5  1984      589.000000
    16     5  1984      592.000000
    17     5  1984      596.000000
    18     5  1984      602.000000
    19     5  1984      605.000000
    20     5  1984      609.000000
    21     5  1984      612.000000
    22     5  1984      616.000000
    23     5  1984      617.000000
    24     5  1984      619.000000
    25     5  1984      624.000000
    26     5  1984      627.000000
    27     5  1984      630.000000
    28     5  1984      633.000000
    29     5  1984      637.000000
    30     5  1984      643.000000
    31     5  1984      648.000000
     1     6  1984      652.000000
     2     6  1984      657.000000
     3     6  1984      662.000000
     4     6  1984      674.000000
     5     6  1984      681.000000
     6     6  1984      685.000000
     7     6  1984      693.000000
     8     6  1984      700.000000
     9     6  1984      706.000000
