IPIXUNA	-71.684	-7.051
    24     1  1984     1200.000000
    25     1  1984     1206.000000
    26     1  1984     1208.000000
    27     1  1984     1208.000000
    28     1  1984     1210.000000
    29     1  1984     1212.000000
    30     1  1984     1204.000000
    31     1  1984     1197.000000
     1     2  1984     1192.000000
     2     2  1984     1186.000000
     3     2  1984     1182.000000
     4     2  1984     1188.000000
     5     2  1984     1200.000000
     6     2  1984     1217.000000
     7     2  1984     1230.000000
     8     2  1984     1247.000000
     9     2  1984     1260.000000
    10     2  1984     1274.000000
    11     2  1984     1286.000000
    12     2  1984     1300.000000
    13     2  1984     1302.000000
    14     2  1984     1309.000000
    15     2  1984     1312.000000
    16     2  1984     1303.000000
    17     2  1984     1292.000000
    18     2  1984     1284.000000
    19     2  1984     1280.000000
    20     2  1984     1280.000000
    21     2  1984     1283.000000
    22     2  1984     1288.000000
    23     2  1984     1294.000000
    24     2  1984     1296.000000
    25     2  1984     1298.000000
    26     2  1984     1301.000000
    27     2  1984     1308.000000
    28     2  1984     1313.000000
    29     2  1984     1312.000000
     1     3  1984     1305.000000
     2     3  1984     1285.000000
     3     3  1984     1272.000000
     4     3  1984     1262.000000
     5     3  1984     1245.000000
     6     3  1984     1236.000000
     7     3  1984     1231.000000
     8     3  1984     1215.000000
     9     3  1984     1210.000000
    10     3  1984     1207.000000
    11     3  1984     1215.000000
    12     3  1984     1233.000000
    13     3  1984     1241.000000
    14     3  1984     1247.000000
    15     3  1984     1250.000000
    16     3  1984     1252.000000
    17     3  1984     1255.000000
    18     3  1984     1256.000000
    19     3  1984     1256.000000
    20     3  1984     1260.000000
    21     3  1984     1261.000000
    22     3  1984     1264.000000
    23     3  1984     1264.000000
    24     3  1984     1262.000000
    25     3  1984     1260.000000
    26     3  1984     1254.000000
    27     3  1984     1248.000000
    28     3  1984     1250.000000
    29     3  1984     1254.000000
    30     3  1984     1259.000000
    31     3  1984     1263.000000
     1     4  1984     1268.000000
     2     4  1984     1269.000000
     3     4  1984     1273.000000
     4     4  1984     1274.000000
     5     4  1984     1274.000000
     6     4  1984     1277.000000
     7     4  1984     1279.000000
     8     4  1984     1280.000000
     9     4  1984     1286.000000
    10     4  1984     1289.000000
    11     4  1984     1290.000000
    12     4  1984     1292.000000
    13     4  1984     1294.000000
    14     4  1984     1297.000000
    15     4  1984     1302.000000
    16     4  1984     1307.000000
    17     4  1984     1311.000000
    18     4  1984     1312.000000
    19     4  1984     1313.000000
    20     4  1984     1313.000000
    21     4  1984     1314.000000
    22     4  1984     1314.000000
    23     4  1984     1314.000000
    24     4  1984     1314.000000
    25     4  1984     1314.000000
    26     4  1984     1316.000000
    27     4  1984     1317.000000
    28     4  1984     1317.000000
    29     4  1984     1316.000000
    30     4  1984     1314.000000
     1     5  1984     1308.000000
     2     5  1984     1298.000000
     3     5  1984     1282.000000
     4     5  1984     1284.000000
     5     5  1984     1288.000000
     6     5  1984     1289.000000
     7     5  1984     1292.000000
     8     5  1984     1296.000000
     9     5  1984     1293.000000
    10     5  1984     1282.000000
    11     5  1984     1271.000000
    12     5  1984     1255.000000
    13     5  1984     1228.000000
    14     5  1984     1205.000000
    15     5  1984     1172.000000
    16     5  1984     1140.000000
    17     5  1984     1104.000000
    18     5  1984     1078.000000
    19     5  1984     1058.000000
    20     5  1984     1038.000000
    21     5  1984     1012.000000
    22     5  1984      978.000000
    23     5  1984      945.000000
    24     5  1984      922.000000
    25     5  1984      907.000000
    26     5  1984      894.000000
    27     5  1984      877.000000
    28     5  1984      858.000000
    29     5  1984      840.000000
    30     5  1984      820.000000
    31     5  1984      815.000000
     1     6  1984      809.000000
     2     6  1984      795.000000
     3     6  1984      786.000000
     4     6  1984      774.000000
     5     6  1984      762.000000
     6     6  1984      752.000000
     7     6  1984      734.000000
     8     6  1984      725.000000
     9     6  1984      713.000000
    10     6  1984      709.000000
    11     6  1984      704.000000
    12     6  1984      697.000000
    13     6  1984      693.000000
    14     6  1984      690.000000
    15     6  1984      690.000000
    16     6  1984      688.000000
    17     6  1984      686.000000
    18     6  1984      683.000000
    19     6  1984      680.000000
    20     6  1984      679.000000
    21     6  1984      679.000000
    22     6  1984      673.000000
    23     6  1984      665.000000
    24     6  1984      656.000000
    25     6  1984      651.000000
    26     6  1984      649.000000
    27     6  1984      649.000000
    28     6  1984      649.000000
    29     6  1984      652.000000
    30     6  1984      654.000000
     1     7  1984      654.000000
     2     7  1984      652.000000
     3     7  1984      654.000000
     4     7  1984      651.000000
     5     7  1984      648.000000
     6     7  1984      646.000000
     7     7  1984      646.000000
     8     7  1984      646.000000
     9     7  1984      652.000000
    10     7  1984      653.000000
    11     7  1984      650.000000
    12     7  1984      647.000000
    13     7  1984      642.000000
    14     7  1984      640.000000
    15     7  1984      638.000000
    16     7  1984      636.000000
    17     7  1984      632.000000
    18     7  1984      624.000000
    19     7  1984      618.000000
    20     7  1984      610.000000
    21     7  1984      602.000000
    22     7  1984      590.000000
    23     7  1984      580.000000
    24     7  1984      568.000000
    25     7  1984      558.000000
    26     7  1984      546.000000
    27     7  1984      534.000000
    28     7  1984      520.000000
    29     7  1984      502.000000
    30     7  1984      478.000000
    31     7  1984      455.000000
     1     8  1984      439.000000
     2     8  1984      424.000000
     3     8  1984      405.000000
     4     8  1984      382.000000
     5     8  1984      358.000000
     6     8  1984      338.000000
     7     8  1984      322.000000
     8     8  1984      314.000000
     9     8  1984      308.000000
    10     8  1984      308.000000
    11     8  1984      308.000000
    12     8  1984      308.000000
    13     8  1984      309.000000
    14     8  1984      310.000000
    15     8  1984      308.000000
    16     8  1984      306.000000
    17     8  1984      305.000000
    18     8  1984      305.000000
    19     8  1984      310.000000
    20     8  1984      312.000000
    21     8  1984      313.000000
    22     8  1984      313.000000
    23     8  1984      313.000000
    24     8  1984      314.000000
    25     8  1984      318.000000
    26     8  1984      320.000000
    27     8  1984      322.000000
    28     8  1984      322.000000
    29     8  1984      328.000000
    30     8  1984      328.000000
    31     8  1984      326.000000
     1     9  1984      324.000000
     2     9  1984      324.000000
     3     9  1984      321.000000
     4     9  1984      317.000000
     5     9  1984      312.000000
     6     9  1984      309.000000
     7     9  1984      308.000000
     8     9  1984      304.000000
     9     9  1984      300.000000
    10     9  1984      296.000000
    11     9  1984      302.000000
    12     9  1984      312.000000
    13     9  1984      320.000000
    14     9  1984      325.000000
    15     9  1984      332.000000
    16     9  1984      335.000000
    17     9  1984      335.000000
    18     9  1984      336.000000
    19     9  1984      338.000000
    20     9  1984      339.000000
    21     9  1984      340.000000
    22     9  1984      342.000000
    23     9  1984      342.000000
    24     9  1984      344.000000
    25     9  1984      345.000000
    26     9  1984      348.000000
    27     9  1984      355.000000
    28     9  1984      356.000000
    29     9  1984      353.000000
    30     9  1984      348.000000
     1    10  1984      340.000000
     2    10  1984      335.000000
     3    10  1984      330.000000
     4    10  1984      322.000000
     5    10  1984      314.000000
     6    10  1984      308.000000
     7    10  1984      300.000000
     8    10  1984      292.000000
     9    10  1984      285.000000
    10    10  1984      282.000000
    11    10  1984      286.000000
    12    10  1984      293.000000
    13    10  1984      302.000000
    14    10  1984      316.000000
    15    10  1984      334.000000
    16    10  1984      344.000000
    17    10  1984      359.000000
    18    10  1984      368.000000
    19    10  1984      378.000000
    20    10  1984      397.000000
    21    10  1984      416.000000
    22    10  1984      436.000000
    23    10  1984      458.000000
    24    10  1984      480.000000
    25    10  1984      498.000000
    26    10  1984      516.000000
    27    10  1984      533.000000
    28    10  1984      546.000000
    29    10  1984      570.000000
    30    10  1984      595.000000
    31    10  1984      618.000000
     1    11  1984      635.000000
     2    11  1984      658.000000
     3    11  1984      686.000000
     4    11  1984      715.000000
     5    11  1984      738.000000
     6    11  1984      762.000000
     7    11  1984      784.000000
     8    11  1984      806.000000
     9    11  1984      829.000000
    10    11  1984      824.000000
    11    11  1984      805.000000
    12    11  1984      792.000000
    13    11  1984      776.000000
    14    11  1984      776.000000
    15    11  1984      802.000000
    16    11  1984      830.000000
    17    11  1984      875.000000
    18    11  1984      908.000000
    19    11  1984      928.000000
    20    11  1984      942.000000
    21    11  1984      952.000000
    22    11  1984      962.000000
    23    11  1984      978.000000
    24    11  1984      992.000000
    25    11  1984     1004.000000
    26    11  1984     1013.000000
    27    11  1984     1022.000000
    28    11  1984     1033.000000
    29    11  1984     1044.000000
    30    11  1984     1053.000000
     1    12  1984     1061.000000
     2    12  1984     1072.000000
     3    12  1984     1074.000000
     4    12  1984     1072.000000
     5    12  1984     1070.000000
     6    12  1984     1074.000000
     7    12  1984     1082.000000
     8    12  1984     1088.000000
     9    12  1984     1096.000000
    10    12  1984     1106.000000
    11    12  1984     1119.000000
    12    12  1984     1126.000000
    13    12  1984     1134.000000
    14    12  1984     1134.000000
    15    12  1984     1141.000000
    16    12  1984     1149.000000
    17    12  1984     1153.000000
    18    12  1984     1160.000000
    19    12  1984     1174.000000
    20    12  1984     1182.000000
    21    12  1984     1190.000000
    22    12  1984     1189.000000
    23    12  1984     1196.000000
    24    12  1984     1202.000000
    25    12  1984     1201.000000
    26    12  1984     1200.000000
    27    12  1984     1195.000000
    28    12  1984     1189.000000
    29    12  1984     1190.000000
    30    12  1984     1196.000000
    31    12  1984     1200.000000
     1     1  1985     1196.000000
     2     1  1985     1176.000000
     3     1  1985     1159.000000
     4     1  1985     1142.000000
     5     1  1985     1118.000000
     6     1  1985     1104.000000
     7     1  1985     1090.000000
     8     1  1985     1071.000000
     9     1  1985     1052.000000
    10     1  1985     1030.000000
    11     1  1985     1016.000000
    12     1  1985     1009.000000
    13     1  1985     1000.000000
    14     1  1985      994.000000
    15     1  1985      995.000000
    16     1  1985      988.000000
    17     1  1985      972.000000
    18     1  1985      950.000000
    19     1  1985      922.000000
    20     1  1985      897.000000
    21     1  1985      887.000000
    22     1  1985      874.000000
    23     1  1985      860.000000
    24     1  1985      836.000000
    25     1  1985      816.000000
    26     1  1985      798.000000
    27     1  1985      794.000000
    28     1  1985      809.000000
    29     1  1985      832.000000
    30     1  1985      850.000000
    31     1  1985      868.000000
     1     2  1985      885.000000
     2     2  1985      894.000000
     3     2  1985      898.000000
     4     2  1985      899.000000
     5     2  1985      915.000000
     6     2  1985      945.000000
     7     2  1985      956.000000
     8     2  1985      946.000000
     9     2  1985      934.000000
    10     2  1985      922.000000
    11     2  1985      945.000000
    12     2  1985      981.000000
    13     2  1985     1016.000000
    14     2  1985     1041.000000
    15     2  1985     1055.000000
    16     2  1985     1059.000000
    17     2  1985     1064.000000
    18     2  1985     1071.000000
    19     2  1985     1072.000000
    20     2  1985     1081.000000
    21     2  1985     1091.000000
    22     2  1985     1095.000000
    23     2  1985     1103.000000
    24     2  1985     1108.000000
    25     2  1985     1111.000000
    26     2  1985     1122.000000
    27     2  1985     1132.000000
    28     2  1985     1142.000000
     1     3  1985     1150.000000
     2     3  1985     1162.000000
     3     3  1985     1170.000000
     4     3  1985     1177.000000
     5     3  1985     1182.000000
     6     3  1985     1182.000000
     7     3  1985     1186.000000
     8     3  1985     1196.000000
     9     3  1985     1206.000000
    10     3  1985     1212.000000
    11     3  1985     1216.000000
    12     3  1985     1218.000000
    13     3  1985     1221.000000
    14     3  1985     1224.000000
    15     3  1985     1227.000000
    16     3  1985     1230.000000
    17     3  1985     1234.000000
    18     3  1985     1240.000000
    19     3  1985     1244.000000
    20     3  1985     1250.000000
    21     3  1985     1262.000000
