LÁBREA	-64.800	-7.252
    28     5  1984     1912.000000
    29     5  1984     1894.000000
    30     5  1984     1878.000000
    31     5  1984     1860.000000
     1     6  1984     1838.000000
     2     6  1984     1814.000000
     3     6  1984     1787.000000
     4     6  1984     1750.000000
     5     6  1984     1712.000000
     6     6  1984     1690.000000
     7     6  1984     1662.000000
     8     6  1984     1642.000000
     9     6  1984     1620.000000
    10     6  1984     1598.000000
    11     6  1984     1569.000000
    12     6  1984     1536.000000
    13     6  1984     1511.000000
    14     6  1984     1470.000000
    15     6  1984     1432.000000
    16     6  1984     1393.000000
    17     6  1984     1369.000000
    18     6  1984     1350.000000
    19     6  1984     1333.000000
    20     6  1984     1309.000000
    21     6  1984     1282.000000
    22     6  1984     1256.000000
    23     6  1984     1228.000000
    24     6  1984     1200.000000
    25     6  1984     1174.000000
    26     6  1984     1146.000000
    27     6  1984     1124.000000
    28     6  1984     1100.000000
    29     6  1984     1074.000000
    30     6  1984     1049.000000
     1     7  1984     1026.000000
     2     7  1984      998.000000
     3     7  1984      972.000000
     4     7  1984      952.000000
     5     7  1984      934.000000
     6     7  1984      918.000000
     7     7  1984      903.000000
     8     7  1984      888.000000
     9     7  1984      878.000000
    10     7  1984      869.000000
    11     7  1984      856.000000
    12     7  1984      846.000000
    13     7  1984      836.000000
    14     7  1984      828.000000
    15     7  1984      820.000000
    16     7  1984      812.000000
    17     7  1984      805.000000
    18     7  1984      798.000000
    19     7  1984      788.000000
    20     7  1984      779.000000
    21     7  1984      770.000000
    22     7  1984      760.000000
    23     7  1984      750.000000
    24     7  1984      740.000000
    25     7  1984      730.000000
    26     7  1984      721.000000
    27     7  1984      712.000000
    28     7  1984      703.000000
    29     7  1984      695.000000
    30     7  1984      686.000000
    31     7  1984      678.000000
     1     8  1984      670.000000
     2     8  1984      662.000000
     3     8  1984      656.000000
     4     8  1984      650.000000
     5     8  1984      643.000000
     6     8  1984      638.000000
     7     8  1984      632.000000
     8     8  1984      627.000000
     9     8  1984      620.000000
    10     8  1984      614.000000
    11     8  1984      609.000000
    12     8  1984      603.000000
    13     8  1984      600.000000
    14     8  1984      597.000000
    15     8  1984      592.000000
    16     8  1984      586.000000
    17     8  1984      580.000000
    18     8  1984      576.000000
    19     8  1984      570.000000
    20     8  1984      567.000000
    21     8  1984      564.000000
    22     8  1984      562.000000
    23     8  1984      560.000000
    24     8  1984      558.000000
    25     8  1984      556.000000
    26     8  1984      553.000000
    27     8  1984      550.000000
    28     8  1984      549.000000
    29     8  1984      550.000000
    30     8  1984      552.000000
    31     8  1984      554.000000
     1     9  1984      555.000000
     2     9  1984      554.000000
     3     9  1984      552.000000
     4     9  1984      548.000000
     5     9  1984      545.000000
     6     9  1984      538.000000
     7     9  1984      532.000000
     8     9  1984      527.000000
     9     9  1984      522.000000
    10     9  1984      518.000000
    11     9  1984      516.000000
    12     9  1984      514.000000
    13     9  1984      516.000000
    14     9  1984      520.000000
    15     9  1984      525.000000
    16     9  1984      532.000000
    17     9  1984      538.000000
    18     9  1984      546.000000
    19     9  1984      552.000000
    20     9  1984      554.000000
    21     9  1984      552.000000
    22     9  1984      549.000000
    23     9  1984      544.000000
    24     9  1984      542.000000
    25     9  1984      541.000000
    26     9  1984      542.000000
    27     9  1984      544.000000
    28     9  1984      546.000000
    29     9  1984      546.000000
    30     9  1984      544.000000
     1    10  1984      542.000000
     2    10  1984      538.000000
     3    10  1984      530.000000
     4    10  1984      525.000000
     5    10  1984      522.000000
     6    10  1984      521.000000
     7    10  1984      521.000000
     8    10  1984      522.000000
     9    10  1984      525.000000
    10    10  1984      530.000000
    11    10  1984      536.000000
    12    10  1984      537.000000
    13    10  1984      537.000000
    14    10  1984      537.000000
    15    10  1984      536.000000
    16    10  1984      534.000000
    17    10  1984      530.000000
    18    10  1984      526.000000
    19    10  1984      524.000000
    20    10  1984      525.000000
    21    10  1984      525.000000
    22    10  1984      528.000000
    23    10  1984      532.000000
    24    10  1984      536.000000
    25    10  1984      544.000000
    26    10  1984      556.000000
    27    10  1984      572.000000
    28    10  1984      592.000000
    29    10  1984      606.000000
    30    10  1984      618.000000
    31    10  1984      627.000000
     1    11  1984      634.000000
     2    11  1984      641.000000
     3    11  1984      652.000000
     4    11  1984      678.000000
     5    11  1984      708.000000
     6    11  1984      746.000000
     7    11  1984      785.000000
     8    11  1984      816.000000
     9    11  1984      848.000000
    10    11  1984      867.000000
    11    11  1984      878.000000
    12    11  1984      886.000000
    13    11  1984      902.000000
    14    11  1984      912.000000
    15    11  1984      922.000000
    16    11  1984      928.000000
    17    11  1984      931.000000
    18    11  1984      934.000000
    19    11  1984      933.000000
    20    11  1984      933.000000
    21    11  1984      938.000000
    22    11  1984      952.000000
    23    11  1984      973.000000
    24    11  1984      997.000000
    25    11  1984     1026.000000
    26    11  1984     1058.000000
    27    11  1984     1096.000000
    28    11  1984     1132.000000
    29    11  1984     1169.000000
    30    11  1984     1202.000000
     1    12  1984     1230.000000
     2    12  1984     1254.000000
     3    12  1984     1279.000000
     4    12  1984     1304.000000
     5    12  1984     1328.000000
     6    12  1984     1346.000000
     7    12  1984     1362.000000
     8    12  1984     1376.000000
     9    12  1984     1391.000000
    10    12  1984     1402.000000
    11    12  1984     1410.000000
    12    12  1984     1418.000000
    13    12  1984     1426.000000
