CAREIRO	-59.833	-3.196
    24    10  1983      471.000000
    25    10  1983      472.000000
    26    10  1983      473.000000
    27    10  1983      474.000000
    28    10  1983      478.000000
    29    10  1983      481.000000
    30    10  1983      486.000000
    31    10  1983      489.000000
     1    11  1983      491.000000
     2    11  1983      494.000000
     3    11  1983      499.000000
     4    11  1983      504.000000
     5    11  1983      508.000000
     6    11  1983      513.000000
     7    11  1983      518.000000
     8    11  1983      524.000000
     9    11  1983      534.000000
    10    11  1983      541.000000
    11    11  1983      547.000000
    12    11  1983      557.000000
    13    11  1983      566.000000
    14    11  1983      576.000000
    15    11  1983      585.000000
    16    11  1983      596.000000
    17    11  1983      606.000000
    18    11  1983      612.000000
    19    11  1983      619.000000
    20    11  1983      626.000000
    21    11  1983      631.000000
    22    11  1983      638.000000
    23    11  1983      643.000000
    24    11  1983      647.000000
    25    11  1983      651.000000
    26    11  1983      657.000000
    27    11  1983      660.000000
    28    11  1983      662.000000
    29    11  1983      664.000000
    30    11  1983      665.000000
     1    12  1983      664.000000
     2    12  1983      664.000000
     3    12  1983      665.000000
     4    12  1983      664.000000
     5    12  1983      664.000000
     6    12  1983      662.000000
     7    12  1983      664.000000
     8    12  1983      666.000000
     9    12  1983      670.000000
    10    12  1983      674.000000
    11    12  1983      680.000000
    12    12  1983      686.000000
    13    12  1983      692.000000
    14    12  1983      702.000000
    15    12  1983      713.000000
    16    12  1983      722.000000
    17    12  1983      733.000000
    18    12  1983      743.000000
    19    12  1983      754.000000
    20    12  1983      766.000000
    21    12  1983      777.000000
    22    12  1983      788.000000
    23    12  1983      799.000000
    24    12  1983      810.000000
    25    12  1983      820.000000
    26    12  1983      830.000000
    27    12  1983      839.000000
    28    12  1983      848.000000
    29    12  1983      856.000000
    30    12  1983      862.000000
    31    12  1983      873.000000
     1     1  1984      882.000000
     2     1  1984      892.000000
     3     1  1984      900.000000
     4     1  1984      906.000000
     5     1  1984      914.000000
     6     1  1984      920.000000
     7     1  1984      926.000000
     8     1  1984      932.000000
     9     1  1984      938.000000
    10     1  1984      944.000000
    11     1  1984      950.000000
    12     1  1984      958.000000
    13     1  1984      966.000000
    14     1  1984      974.000000
    15     1  1984      982.000000
    16     1  1984      986.000000
    17     1  1984      993.000000
    18     1  1984      998.000000
    19     1  1984     1004.000000
    20     1  1984     1010.000000
    21     1  1984     1015.000000
    22     1  1984     1019.000000
    23     1  1984     1023.000000
    24     1  1984     1027.000000
    25     1  1984     1031.000000
    26     1  1984     1035.000000
    27     1  1984     1039.000000
    28     1  1984     1042.000000
    29     1  1984     1044.000000
    30     1  1984     1045.000000
    31     1  1984     1049.000000
     1     2  1984     1052.000000
     2     2  1984     1056.000000
     3     2  1984     1061.000000
     4     2  1984     1065.000000
     5     2  1984     1070.000000
     6     2  1984     1075.000000
     7     2  1984     1082.000000
     8     2  1984     1090.000000
     9     2  1984     1094.000000
    10     2  1984     1099.000000
    11     2  1984     1103.000000
    12     2  1984     1108.000000
    13     2  1984     1114.000000
