ESTIRÃODOREPOUSO	-70.933	-4.367
    14     3  1984     1563.000000
    15     3  1984     1564.000000
    16     3  1984     1566.000000
    17     3  1984     1568.000000
    18     3  1984     1570.000000
    19     3  1984     1570.000000
    20     3  1984     1568.000000
    21     3  1984     1567.000000
    22     3  1984     1568.000000
    23     3  1984     1567.000000
    24     3  1984     1564.000000
    25     3  1984     1558.000000
    26     3  1984     1549.000000
    27     3  1984     1539.000000
    28     3  1984     1529.000000
    29     3  1984     1517.000000
    30     3  1984     1505.000000
    31     3  1984     1493.000000
     1     4  1984     1482.000000
     2     4  1984     1468.000000
     3     4  1984     1454.000000
     4     4  1984     1439.000000
     5     4  1984     1432.000000
     6     4  1984     1429.000000
     7     4  1984     1425.000000
     8     4  1984     1422.000000
     9     4  1984     1416.000000
    10     4  1984     1411.000000
    11     4  1984     1406.000000
    12     4  1984     1404.000000
    13     4  1984     1402.000000
    14     4  1984     1404.000000
    15     4  1984     1409.000000
    16     4  1984     1416.000000
    17     4  1984     1418.000000
    18     4  1984     1420.000000
    19     4  1984     1422.000000
    20     4  1984     1424.000000
    21     4  1984     1427.000000
    22     4  1984     1430.000000
    23     4  1984     1437.000000
    24     4  1984     1447.000000
    25     4  1984     1456.000000
    26     4  1984     1462.000000
    27     4  1984     1466.000000
    28     4  1984     1472.000000
    29     4  1984     1476.000000
    30     4  1984     1480.000000
     1     5  1984     1482.000000
     2     5  1984     1484.000000
     3     5  1984     1489.000000
     4     5  1984     1490.000000
     5     5  1984     1492.000000
     6     5  1984     1494.000000
     7     5  1984     1499.000000
     8     5  1984     1503.000000
     9     5  1984     1506.000000
    10     5  1984     1508.000000
    11     5  1984     1508.000000
    12     5  1984     1511.000000
    13     5  1984     1514.000000
    14     5  1984     1520.000000
    15     5  1984     1530.000000
    16     5  1984     1536.000000
    17     5  1984     1542.000000
    18     5  1984     1546.000000
    19     5  1984     1552.000000
    20     5  1984     1550.000000
    21     5  1984     1547.000000
    22     5  1984     1544.000000
    23     5  1984     1541.000000
    24     5  1984     1532.000000
    25     5  1984     1520.000000
    26     5  1984     1506.000000
    27     5  1984     1485.000000
    28     5  1984     1465.000000
    29     5  1984     1445.000000
    30     5  1984     1428.000000
    31     5  1984     1419.000000
     1     6  1984     1415.000000
     2     6  1984     1410.000000
     3     6  1984     1394.000000
     4     6  1984     1377.000000
     5     6  1984     1364.000000
