MANAUS	-60.027	-3.137
     7    10  1983     1819.000000
     8    10  1983     1812.000000
     9    10  1983     1804.000000
    10    10  1983     1796.000000
    11    10  1983     1789.000000
    12    10  1983     1781.000000
    13    10  1983     1773.000000
    14    10  1983     1763.000000
    15    10  1983     1753.000000
    16    10  1983     1743.000000
    17    10  1983     1733.000000
    18    10  1983     1723.000000
    19    10  1983     1719.000000
    20    10  1983     1716.000000
    21    10  1983     1712.000000
    22    10  1983     1710.000000
    23    10  1983     1709.000000
    24    10  1983     1708.000000
    25    10  1983     1708.000000
    26    10  1983     1710.000000
    27    10  1983     1713.000000
    28    10  1983     1718.000000
    29    10  1983     1720.000000
    30    10  1983     1722.000000
    31    10  1983     1724.000000
     1    11  1983     1726.000000
     2    11  1983     1730.000000
     3    11  1983     1734.000000
     4    11  1983     1737.000000
     5    11  1983     1741.000000
     6    11  1983     1745.000000
     7    11  1983     1749.000000
     8    11  1983     1756.000000
     9    11  1983     1763.000000
    10    11  1983     1773.000000
    11    11  1983     1780.000000
    12    11  1983     1788.000000
    13    11  1983     1798.000000
    14    11  1983     1808.000000
    15    11  1983     1817.000000
    16    11  1983     1826.000000
    17    11  1983     1836.000000
    18    11  1983     1843.000000
    19    11  1983     1850.000000
    20    11  1983     1856.000000
    21    11  1983     1862.000000
    22    11  1983     1868.000000
    23    11  1983     1873.000000
    24    11  1983     1878.000000
    25    11  1983     1883.000000
    26    11  1983     1886.000000
    27    11  1983     1889.000000
    28    11  1983     1892.000000
    29    11  1983     1894.000000
    30    11  1983     1896.000000
     1    12  1983     1896.000000
     2    12  1983     1895.000000
     3    12  1983     1894.000000
     4    12  1983     1893.000000
     5    12  1983     1893.000000
     6    12  1983     1893.000000
     7    12  1983     1894.000000
     8    12  1983     1897.000000
     9    12  1983     1900.000000
    10    12  1983     1904.000000
    11    12  1983     1908.000000
    12    12  1983     1912.000000
    13    12  1983     1917.000000
    14    12  1983     1926.000000
    15    12  1983     1934.000000
    16    12  1983     1945.000000
    17    12  1983     1955.000000
    18    12  1983     1965.000000
    19    12  1983     1976.000000
    20    12  1983     1988.000000
    21    12  1983     2000.000000
    22    12  1983     2011.000000
    23    12  1983     2022.000000
    24    12  1983     2033.000000
    25    12  1983     2043.000000
    26    12  1983     2053.000000
    27    12  1983     2063.000000
    28    12  1983     2072.000000
    29    12  1983     2080.000000
    30    12  1983     2088.000000
    31    12  1983     2096.000000
     1     1  1984     2106.000000
     2     1  1984     2116.000000
     3     1  1984     2123.000000
     4     1  1984     2129.000000
     5     1  1984     2135.000000
     6     1  1984     2140.000000
     7     1  1984     2146.000000
     8     1  1984     2152.000000
     9     1  1984     2159.000000
    10     1  1984     2166.000000
    11     1  1984     2174.000000
    12     1  1984     2183.000000
    13     1  1984     2191.000000
    14     1  1984     2198.000000
    15     1  1984     2205.000000
    16     1  1984     2212.000000
    17     1  1984     2219.000000
    18     1  1984     2225.000000
    19     1  1984     2230.000000
    20     1  1984     2235.000000
    21     1  1984     2240.000000
    22     1  1984     2244.000000
    23     1  1984     2248.000000
    24     1  1984     2253.000000
    25     1  1984     2256.000000
    26     1  1984     2258.000000
    27     1  1984     2261.000000
    28     1  1984     2264.000000
    29     1  1984     2267.000000
    30     1  1984     2270.000000
    31     1  1984     2275.000000
     1     2  1984     2280.000000
     2     2  1984     2282.000000
     3     2  1984     2286.000000
     4     2  1984     2290.000000
     5     2  1984     2294.000000
     6     2  1984     2299.000000
     7     2  1984     2307.000000
     8     2  1984     2316.000000
     9     2  1984     2321.000000
    10     2  1984     2326.000000
    11     2  1984     2331.000000
    12     2  1984     2336.000000
    13     2  1984     2340.000000
    14     2  1984     2344.000000
    15     2  1984     2350.000000
    16     2  1984     2357.000000
    17     2  1984     2363.000000
    18     2  1984     2369.000000
    19     2  1984     2375.000000
    20     2  1984     2382.000000
    21     2  1984     2386.000000
    22     2  1984     2392.000000
    23     2  1984     2399.000000
    24     2  1984     2404.000000
    25     2  1984     2411.000000
    26     2  1984     2418.000000
    27     2  1984     2425.000000
    28     2  1984     2430.000000
    29     2  1984     2435.000000
     1     3  1984     2440.000000
     2     3  1984     2446.000000
     3     3  1984     2453.000000
     4     3  1984     2460.000000
     5     3  1984     2467.000000
