FAZENDACAJUPIRANGA	-61.037	3.438
    30     4  1983      797.000000
     1     5  1983      763.000000
     2     5  1983      731.000000
     3     5  1983      703.000000
     4     5  1983      699.000000
     5     5  1983      680.000000
     6     5  1983      667.000000
     7     5  1983      676.000000
     8     5  1983      671.000000
     9     5  1983      684.000000
    10     5  1983      700.000000
    11     5  1983      705.000000
    12     5  1983      697.000000
    13     5  1983      668.000000
    14     5  1983      646.000000
    15     5  1983      627.000000
    16     5  1983      602.000000
    17     5  1983      592.000000
    18     5  1983      579.000000
    19     5  1983      571.000000
    20     5  1983      565.000000
    21     5  1983      565.000000
    22     5  1983      578.000000
    23     5  1983      617.000000
    24     5  1983      653.000000
    25     5  1983      686.000000
    26     5  1983      706.000000
    27     5  1983      688.000000
    28     5  1983      663.000000
    29     5  1983      641.000000
    30     5  1983      621.000000
    31     5  1983      604.000000
     1     6  1983      578.000000
     2     6  1983      569.000000
     3     6  1983      567.000000
     4     6  1983      568.000000
     5     6  1983      569.000000
     6     6  1983      562.000000
     7     6  1983      557.000000
     8     6  1983      562.000000
     9     6  1983      571.000000
    10     6  1983      581.000000
    11     6  1983      583.000000
    12     6  1983      576.000000
    13     6  1983      573.000000
    14     6  1983      575.000000
    15     6  1983      586.000000
    16     6  1983      614.000000
    17     6  1983      632.000000
    18     6  1983      625.000000
    19     6  1983      612.000000
    20     6  1983      599.000000
    21     6  1983      585.000000
    22     6  1983      572.000000
    23     6  1983      567.000000
    24     6  1983      571.000000
    25     6  1983      578.000000
    26     6  1983      578.000000
    27     6  1983      568.000000
    28     6  1983      561.000000
    29     6  1983      570.000000
    30     6  1983      584.000000
     1     7  1983      592.000000
     2     7  1983      602.000000
     3     7  1983      608.000000
     4     7  1983      604.000000
     5     7  1983      602.000000
     6     7  1983      600.000000
     7     7  1983      597.000000
     8     7  1983      588.000000
     9     7  1983      576.000000
    10     7  1983      565.000000
    11     7  1983      555.000000
    12     7  1983      544.000000
    13     7  1983      538.000000
    14     7  1983      537.000000
    15     7  1983      536.000000
    16     7  1983      534.000000
    17     7  1983      530.000000
    18     7  1983      525.000000
    19     7  1983      522.000000
    20     7  1983      520.000000
    21     7  1983      518.000000
    22     7  1983      528.000000
    23     7  1983      528.000000
    24     7  1983      525.000000
    25     7  1983      521.000000
    26     7  1983      518.000000
    27     7  1983      515.000000
    28     7  1983      511.000000
    29     7  1983      509.000000
    30     7  1983      507.000000
    31     7  1983      516.000000
     1     8  1983      528.000000
