CARACARAÍ	-61.124	1.821
    20    12  1983      127.000000
    21    12  1983      122.000000
    22    12  1983      113.000000
    23    12  1983      106.000000
    24    12  1983       96.000000
    25    12  1983       89.000000
    26    12  1983       84.000000
    27    12  1983       79.000000
    28    12  1983       74.000000
    29    12  1983       66.000000
    30    12  1983       61.000000
    31    12  1983       56.000000
     1     1  1984       53.000000
     2     1  1984       58.000000
     3     1  1984       66.000000
     4     1  1984       78.000000
     5     1  1984       85.000000
     6     1  1984       83.000000
     7     1  1984       76.000000
     8     1  1984       70.000000
     9     1  1984       73.000000
    10     1  1984       93.000000
    11     1  1984      112.000000
    12     1  1984      115.000000
    13     1  1984      105.000000
    14     1  1984       93.000000
    15     1  1984       82.000000
    16     1  1984       72.000000
    17     1  1984       64.000000
    18     1  1984       57.000000
    19     1  1984       54.000000
    20     1  1984       51.000000
    21     1  1984       50.000000
    22     1  1984       51.000000
    23     1  1984       56.000000
    24     1  1984       71.000000
    25     1  1984      113.000000
    26     1  1984      160.000000
    27     1  1984      183.000000
    28     1  1984      195.000000
    29     1  1984      205.000000
    30     1  1984      211.000000
    31     1  1984      207.000000
     1     2  1984      203.000000
     2     2  1984      201.000000
     3     2  1984      196.000000
     4     2  1984      196.000000
     5     2  1984      211.000000
     6     2  1984      223.000000
     7     2  1984      233.000000
     8     2  1984      229.000000
     9     2  1984      209.000000
    10     2  1984      187.000000
    11     2  1984      179.000000
    12     2  1984      163.000000
    13     2  1984      146.000000
    14     2  1984      139.000000
    15     2  1984      119.000000
    16     2  1984      115.000000
    17     2  1984      111.000000
    18     2  1984      110.000000
    19     2  1984      110.000000
    20     2  1984      108.000000
    21     2  1984      118.000000
    22     2  1984      112.000000
    23     2  1984      107.000000
    24     2  1984      106.000000
    25     2  1984      118.000000
    26     2  1984      129.000000
    27     2  1984      137.000000
    28     2  1984      141.000000
    29     2  1984      145.000000
     1     3  1984      149.000000
     2     3  1984      153.000000
     3     3  1984      157.000000
     4     3  1984      158.000000
     5     3  1984      153.000000
     6     3  1984      150.000000
     7     3  1984      146.000000
     8     3  1984      141.000000
     9     3  1984      134.000000
    10     3  1984      121.000000
    11     3  1984      111.000000
    12     3  1984       98.000000
    13     3  1984       93.000000
    14     3  1984       87.000000
    15     3  1984       83.000000
    16     3  1984       75.000000
    17     3  1984       66.000000
    18     3  1984       57.000000
    19     3  1984       53.000000
    20     3  1984       49.000000
    21     3  1984       44.000000
    22     3  1984       39.000000
    23     3  1984       35.000000
    24     3  1984       32.000000
    25     3  1984       31.000000
    26     3  1984       31.000000
    27     3  1984       35.000000
    28     3  1984       41.000000
    29     3  1984       45.000000
    30     3  1984       49.000000
    31     3  1984       47.000000
     1     4  1984       39.000000
     2     4  1984       41.000000
     3     4  1984       47.000000
     4     4  1984       61.000000
     5     4  1984       75.000000
     6     4  1984       85.000000
     7     4  1984       86.000000
     8     4  1984       77.000000
     9     4  1984       67.000000
    10     4  1984       63.000000
    11     4  1984       65.000000
    12     4  1984       71.000000
    13     4  1984       57.000000
    14     4  1984       49.000000
    15     4  1984       45.000000
    16     4  1984       41.000000
    17     4  1984       37.000000
    18     4  1984       33.000000
    19     4  1984       31.000000
    20     4  1984       30.000000
    21     4  1984       30.000000
    22     4  1984       39.000000
    23     4  1984       50.000000
    24     4  1984       56.000000
    25     4  1984       58.000000
    26     4  1984       54.000000
    27     4  1984       48.000000
    28     4  1984       46.000000
    29     4  1984       46.000000
    30     4  1984       50.000000
     1     5  1984       90.000000
     2     5  1984      165.000000
     3     5  1984      220.000000
     4     5  1984      234.000000
     5     5  1984      223.000000
     6     5  1984      204.000000
     7     5  1984      187.000000
     8     5  1984      180.000000
     9     5  1984      163.000000
    10     5  1984      140.000000
    11     5  1984      129.000000
    12     5  1984      154.000000
    13     5  1984      207.000000
    14     5  1984      250.000000
    15     5  1984      257.000000
    16     5  1984      225.000000
    17     5  1984      217.000000
    18     5  1984      261.000000
    19     5  1984      324.000000
    20     5  1984      331.000000
    21     5  1984      321.000000
    22     5  1984      297.000000
    23     5  1984      267.000000
    24     5  1984      249.000000
    25     5  1984      267.000000
    26     5  1984      315.000000
    27     5  1984      355.000000
    28     5  1984      376.000000
    29     5  1984      399.000000
    30     5  1984      432.000000
    31     5  1984      465.000000
     1     6  1984      473.000000
     2     6  1984      460.000000
     3     6  1984      422.000000
     4     6  1984      396.000000
     5     6  1984      411.000000
     6     6  1984      432.000000
     7     6  1984      484.000000
     8     6  1984      556.000000
     9     6  1984      590.000000
    10     6  1984      610.000000
    11     6  1984      617.000000
    12     6  1984      612.000000
    13     6  1984      578.000000
    14     6  1984      509.000000
    15     6  1984      441.000000
    16     6  1984      397.000000
    17     6  1984      393.000000
    18     6  1984      404.000000
    19     6  1984      420.000000
    20     6  1984      424.000000
    21     6  1984      402.000000
    22     6  1984      393.000000
    23     6  1984      452.000000
    24     6  1984      523.000000
    25     6  1984      545.000000
    26     6  1984      608.000000
    27     6  1984      633.000000
    28     6  1984      654.000000
    29     6  1984      668.000000
    30     6  1984      672.000000
     1     7  1984      658.000000
     2     7  1984      639.000000
     3     7  1984      631.000000
     4     7  1984      640.000000
     5     7  1984      652.000000
     6     7  1984      660.000000
     7     7  1984      657.000000
     8     7  1984      625.000000
     9     7  1984      574.000000
    10     7  1984      550.000000
    11     7  1984      556.000000
    12     7  1984      574.000000
    13     7  1984      585.000000
    14     7  1984      595.000000
    15     7  1984      596.000000
    16     7  1984      585.000000
    17     7  1984      585.000000
    18     7  1984      590.000000
    19     7  1984      591.000000
    20     7  1984      592.000000
    21     7  1984      601.000000
    22     7  1984      616.000000
    23     7  1984      633.000000
    24     7  1984      629.000000
