SANTOANTÔNIODOIÇÁ	-67.933	-3.083
     5    12  1983      778.000000
     6    12  1983      805.000000
     7    12  1983      826.000000
     8    12  1983      842.000000
     9    12  1983      856.000000
    10    12  1983      868.000000
    11    12  1983      880.000000
    12    12  1983      890.000000
    13    12  1983      901.000000
    14    12  1983      912.000000
    15    12  1983      918.000000
    16    12  1983      929.000000
    17    12  1983      940.000000
    18    12  1983      948.000000
    19    12  1983      956.000000
    20    12  1983      962.000000
    21    12  1983      963.000000
    22    12  1983      968.000000
    23    12  1983      968.000000
    24    12  1983      966.000000
    25    12  1983      964.000000
    26    12  1983      958.000000
    27    12  1983      958.000000
    28    12  1983      956.000000
    29    12  1983      955.000000
    30    12  1983      954.000000
    31    12  1983      954.000000
     1     1  1984      956.000000
     2     1  1984      958.000000
     3     1  1984      960.000000
     4     1  1984      962.000000
     5     1  1984      964.000000
     6     1  1984      966.000000
     7     1  1984      966.000000
     8     1  1984      966.000000
     9     1  1984      967.000000
    10     1  1984      963.000000
    11     1  1984      958.000000
    12     1  1984      950.000000
    13     1  1984      939.000000
    14     1  1984      926.000000
    15     1  1984      913.000000
    16     1  1984      899.000000
    17     1  1984      886.000000
    18     1  1984      876.000000
    19     1  1984      874.000000
    20     1  1984      872.000000
    21     1  1984      872.000000
    22     1  1984      873.000000
    23     1  1984      879.000000
    24     1  1984      884.000000
    25     1  1984      888.000000
    26     1  1984      890.000000
    27     1  1984      892.000000
    28     1  1984      894.000000
    29     1  1984      896.000000
    30     1  1984      896.000000
    31     1  1984      898.000000
     1     2  1984      902.000000
     2     2  1984      904.000000
     3     2  1984      907.000000
     4     2  1984      913.000000
     5     2  1984      925.000000
     6     2  1984      936.000000
     7     2  1984      950.000000
     8     2  1984      962.000000
     9     2  1984      975.000000
    10     2  1984      986.000000
    11     2  1984     1001.000000
    12     2  1984     1014.000000
    13     2  1984     1022.000000
    14     2  1984     1034.000000
    15     2  1984     1042.000000
    16     2  1984     1051.000000
    17     2  1984     1060.000000
    18     2  1984     1068.000000
    19     2  1984     1079.000000
    20     2  1984     1088.000000
    21     2  1984     1094.000000
    22     2  1984     1105.000000
    23     2  1984     1115.000000
    24     2  1984     1124.000000
    25     2  1984     1132.000000
    26     2  1984     1140.000000
    27     2  1984     1148.000000
    28     2  1984     1154.000000
    29     2  1984     1164.000000
     1     3  1984     1171.000000
     2     3  1984     1177.000000
     3     3  1984     1184.000000
     4     3  1984     1191.000000
     5     3  1984     1195.000000
     6     3  1984     1198.000000
     7     3  1984     1203.000000
     8     3  1984     1208.000000
     9     3  1984     1210.000000
    10     3  1984     1212.000000
    11     3  1984     1216.000000
    12     3  1984     1222.000000
    13     3  1984     1224.000000
    14     3  1984     1227.000000
    15     3  1984     1230.000000
    16     3  1984     1232.000000
    17     3  1984     1236.000000
    18     3  1984     1238.000000
    19     3  1984     1240.000000
    20     3  1984     1240.000000
    21     3  1984     1241.000000
    22     3  1984     1241.000000
    23     3  1984     1242.000000
    24     3  1984     1242.000000
    25     3  1984     1240.000000
    26     3  1984     1238.000000
    27     3  1984     1234.000000
    28     3  1984     1232.000000
    29     3  1984     1230.000000
    30     3  1984     1228.000000
    31     3  1984     1226.000000
     1     4  1984     1222.000000
     2     4  1984     1220.000000
     3     4  1984     1218.000000
     4     4  1984     1216.000000
     5     4  1984     1215.000000
     6     4  1984     1216.000000
     7     4  1984     1216.000000
     8     4  1984     1217.000000
     9     4  1984     1217.000000
    10     4  1984     1218.000000
    11     4  1984     1220.000000
    12     4  1984     1222.000000
    13     4  1984     1224.000000
    14     4  1984     1227.000000
    15     4  1984     1230.000000
    16     4  1984     1234.000000
    17     4  1984     1236.000000
    18     4  1984     1238.000000
    19     4  1984     1240.000000
    20     4  1984     1242.000000
    21     4  1984     1244.000000
    22     4  1984     1244.000000
    23     4  1984     1244.000000
    24     4  1984     1245.000000
    25     4  1984     1245.000000
    26     4  1984     1247.000000
    27     4  1984     1251.000000
    28     4  1984     1260.000000
    29     4  1984     1265.000000
    30     4  1984     1267.000000
     1     5  1984     1272.000000
     2     5  1984     1273.000000
     3     5  1984     1273.000000
     4     5  1984     1273.000000
     5     5  1984     1274.000000
     6     5  1984     1276.000000
     7     5  1984     1278.000000
     8     5  1984     1282.000000
     9     5  1984     1282.000000
    10     5  1984     1280.000000
    11     5  1984     1277.000000
    12     5  1984     1282.000000
    13     5  1984     1284.000000
    14     5  1984     1286.000000
    15     5  1984     1284.000000
    16     5  1984     1286.000000
    17     5  1984     1288.000000
    18     5  1984     1288.000000
    19     5  1984     1286.000000
    20     5  1984     1286.000000
    21     5  1984     1286.000000
    22     5  1984     1287.000000
    23     5  1984     1287.000000
    24     5  1984     1284.000000
    25     5  1984     1282.000000
    26     5  1984     1282.000000
    27     5  1984     1282.000000
    28     5  1984     1280.000000
    29     5  1984     1278.000000
    30     5  1984     1277.000000
    31     5  1984     1276.000000
     1     6  1984     1274.000000
     2     6  1984     1272.000000
     3     6  1984     1270.000000
